date,rm_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
1977-12-31,-0.19222495324749933,0.0,0.0,0.0,0.0,0.0,0.0
1978-03-31,0.22020817761943012,0.0,0.0,0.0,0.0,0.0,0.0
1978-06-30,-1.007843197837092,0.0,0.0,0.0,0.0,0.0,0.0
1978-09-30,1.167637038706263,0.0,0.0,0.0,0.0,0.0,0.0
1978-12-31,1.2759588552667747,0.0,0.0,0.0,0.0,0.0,0.0
1979-03-31,0.13017346253926926,0.0,0.0,0.0,0.0,0.0,0.0
1979-06-30,0.5941627792866211,0.0,0.0,0.0,0.0,0.0,0.0
1979-09-30,0.055628864956060724,0.0,0.0,0.0,0.0,0.0,0.0
1979-12-31,2.833941166211875,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-31,1.9899622685493936,0.0,0.0,0.0,0.0,0.0,0.0
1980-06-30,0.5418682288968393,0.0,0.0,0.0,0.0,0.0,0.0
1980-09-30,-2.6272152153372508,0.0,0.0,0.0,0.0,0.0,0.0
1980-12-31,7.141278378871566,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-31,0.9283577678097946,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-30,2.631566525144469,0.0,0.0,0.0,0.0,0.0,0.0
1981-09-30,2.3717392854793515,0.0,0.0,0.0,0.0,0.0,0.0
1981-12-31,-1.6475313524816129,0.0,0.0,0.0,0.0,0.0,0.0
1982-03-31,3.5272086690521873,0.0,0.0,0.0,0.0,0.0,0.0
1982-06-30,2.437272758245913,0.0,0.0,0.0,0.0,0.0,0.0
1982-09-30,-2.680543977799837,0.0,0.0,0.0,0.0,0.0,0.0
1982-12-31,0.39627701620648015,0.0,0.0,0.0,0.0,0.0,0.0
1983-03-31,1.2472281476579068,0.0,0.0,0.0,0.0,0.0,0.0
1983-06-30,0.4100503131813966,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-30,0.31811223003892874,0.0,0.0,0.0,0.0,0.0,0.0
1983-12-31,0.2439061066976069,0.0,0.0,0.0,0.0,0.0,0.0
1984-03-31,0.8676435838415316,0.0,0.0,0.0,0.0,0.0,0.0
1984-06-30,1.0585805510954365,0.0,0.0,0.0,0.0,0.0,0.0
1984-09-30,2.156756761493146,0.0,0.0,0.0,0.0,0.0,0.0
1984-12-31,-1.5446593362296808,0.0,0.0,0.0,0.0,0.0,0.0
1985-03-31,-0.369510082479125,0.0,0.0,0.0,0.0,0.0,0.0
1985-06-30,0.5492807628987408,0.0,0.0,0.0,0.0,0.0,0.0
1985-09-30,0.44444324647025973,0.0,0.0,0.0,0.0,0.0,0.0
1985-12-31,1.0084351411626666,0.0,0.0,0.0,0.0,0.0,0.0
1986-03-31,-0.43227215174150957,0.0,0.0,0.0,0.0,0.0,0.0
1986-06-30,0.06345217847929967,0.0,0.0,0.0,0.0,0.0,0.0
1986-09-30,-1.1674984162278013,0.0,0.0,0.0,0.0,0.0,0.0
1986-12-31,0.5583318349463796,0.0,0.0,0.0,0.0,0.0,0.0
1987-03-31,-0.35520472186322044,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-30,-0.13549857067351603,0.0,0.0,0.0,0.0,0.0,0.0
1987-09-30,-0.054299725889758746,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-31,0.44576401593448084,0.0,0.0,0.0,0.0,0.0,0.0
1988-03-31,-0.8883497960530616,0.0,0.0,0.0,0.0,0.0,0.0
1988-06-30,0.626084907482716,0.0,0.0,0.0,0.0,0.0,0.0
1988-09-30,0.8180871778462219,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-31,-0.11571853521576873,0.0,0.0,0.0,0.0,0.0,0.0
1989-03-31,1.01939713890977,0.0,0.0,0.0,0.0,0.0,0.0
1989-06-30,0.4835899634557436,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-30,-0.3874210779884241,0.0,0.0,0.0,0.0,0.0,0.0
1989-12-31,0.12342209904294957,0.0,0.0,0.0,0.0,0.0,0.0
1990-03-31,-1.3559222730540796,0.0,0.0,0.0,0.0,0.0,0.0
1990-06-30,0.9380059636639414,0.0,0.0,0.0,0.0,0.0,0.0
1990-09-30,0.3779781936029522,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-31,0.5820422896415469,0.0,0.0,0.0,0.0,0.0,0.0
