Date,CYRateDomainScale_EA,LiquidityTransitory_EA_RateDomain_APR,LiquidityPermanent_EA_RateDomain_APR,LiquidityStateTotal_EA_RateDomain_APR,LiquidityTrend_EA_RateDomain_APR,LiquidityConvenienceYield_EA_RateDomain_APR,SafetyTransitory_EA_RateDomain_APR,SafetyPermanent_EA_RateDomain_APR,SafetyStateTotal_EA_RateDomain_APR,SafetyTrend_EA_RateDomain_APR,SafetyConvenienceYield_EA_RateDomain_APR,ConvenienceYieldStateTotal_EA_RateDomain_APR,ConvenienceYieldTrend_EA_RateDomain_APR,ConvenienceYield_EA_RateDomain_APR,CYRateDomainScale_US,LiquidityTransitory_US_RateDomain_APR,LiquidityPermanent_US_RateDomain_APR,LiquidityStateTotal_US_RateDomain_APR,LiquidityTrend_US_RateDomain_APR,LiquidityConvenienceYield_US_RateDomain_APR,SafetyTransitory_US_RateDomain_APR,SafetyPermanent_US_RateDomain_APR,SafetyStateTotal_US_RateDomain_APR,SafetyTrend_US_RateDomain_APR,SafetyConvenienceYield_US_RateDomain_APR,ConvenienceYieldStateTotal_US_RateDomain_APR,ConvenienceYieldTrend_US_RateDomain_APR,ConvenienceYield_US_RateDomain_APR
1986-12-31,-2.893137720568763,0.1442212025558529,-2.8763007633897915,-2.7320795608339385,-1.3647559563579792,-4.096835517191918,0.9865710645117108,-1.6264004926029645,-0.6398294280912536,-0.7519714430959781,-1.3918008711872316,-3.3719089889251923,-2.1167273994539575,-5.488636388378907,-3.5395348494458267,-0.35048014231175056,0.03561463085952583,-0.31486551145222474,-1.6626047900990986,-1.9774703015513233,-0.05711900327485495,-0.5642108337473981,-0.6213298370222531,-0.9199800997040103,-1.5413099367262635,-0.9361953484744778,-2.5825848898031087,-3.518780238277572
1987-03-31,-2.893137720568763,-0.10393673584784661,-2.938624967866985,-3.042561703714832,-1.3647559563579792,-4.407317660072811,-0.0039996838394525105,-1.7121939004365603,-1.7161935842760128,-0.7519714430959781,-2.4681650273719913,-4.758755287990844,-2.1167273994539575,-6.875482687444549,-3.5395348494458267,-0.8384025882386384,0.42678678904653394,-0.4116157991921045,-1.6626047900990986,-2.074220589291203,-1.1921409100460696,-0.43481587139406125,-1.626956781440131,-0.9199800997040103,-2.5469368811441413,-2.0385725806322355,-2.5825848898031087,-4.6211574704353096
1987-06-30,-2.893137720568763,-0.035059313196259295,-2.922535308125736,-2.957594621321995,-1.3647559563579792,-4.322350577679974,0.10649217953572508,-1.7184623990167651,-1.6119702194810401,-0.7519714430959781,-2.3639416625770187,-4.569564840803035,-2.1167273994539575,-6.6862922402567015,-3.5395348494458267,0.827479478163719,1.00257215264012,1.830051630803839,-1.6626047900990986,0.1674468407047404,-1.1995505633557653,-0.47622222120383173,-1.6757727845595969,-0.9199800997040103,-2.5957528842636073,0.15427884624424212,-2.5825848898031087,-2.42830604355884
1987-09-30,-2.893137720568763,-0.30518302304365974,-3.0258722849977477,-3.3310553080414076,-1.3647559563579792,-4.695811264399387,-0.8862662432976972,-1.8350227184434043,-2.7212889617411014,-0.7519714430959781,-3.473260404837079,-6.052344269782509,-2.1167273994539575,-8.169071669236134,-3.5395348494458267,0.3952744902419884,1.154886869106809,1.5501613593487977,-1.6626047900990986,-0.112443430750301,-2.3436974601388103,-0.4907611771916614,-2.8344586373304717,-0.9199800997040103,-3.754438737034482,-1.2842972779816741,-2.5825848898031087,-3.8668821677847536
1987-12-31,-2.893137720568763,-0.022228969938841305,-3.125233376995994,-3.147462346934835,-1.3647559563579792,-4.512218303292815,0.03905002250333554,-1.9155538343147276,-1.8765038118113921,-0.7519714430959781,-2.62847525490737,-5.023966158746227,-2.1167273994539575,-7.140693558199789,-3.5395348494458267,0.38629429288017625,0.9995915952547182,1.3858858881348946,-1.6626047900990986,-0.2767189019642042,-1.1721975556022775,-0.4868705471751657,-1.6590681027774432,-0.9199800997040103,-2.5790482024814536,-0.27318221464254877,-2.5825848898031087,-2.855767104445638
1988-03-31,-2.893137720568763,-0.010791492078659976,-3.1102482965599667,-3.121039788638627,-1.3647559563579792,-4.485795744996606,0.5764687194435442,-1.9100589121942522,-1.333590192750708,-0.7519714430959781,-2.0855616358466857,-4.454629981389335,-2.1167273994539575,-6.5713573808428665,-3.5395348494458267,0.33470388567346776,0.7757815005198228,1.1104853861932904,-1.6626047900990986,-0.5521194039058082,-0.426403600167791,-0.5790570972113832,-1.0054606973791742,-0.9199800997040103,-1.9254407970831846,0.1050246888141162,-2.5825848898031087,-2.4775602009889757
1988-06-30,-2.893137720568763,0.4119090346807804,-2.900069344139628,-2.488160309458848,-1.3647559563579792,-3.8529162658168272,2.2595078292229114,-1.7389008575491993,0.5206069716737117,-0.7519714430959781,-0.23136447142226632,-1.9675533377851362,-2.1167273994539575,-4.08428073723867,-3.5395348494458267,-0.6676026580762405,0.5022271013018699,-0.1653755567743706,-1.6626047900990986,-1.8279803468734694,-1.8869317616043861,-0.6727137154512951,-2.5596454770556814,-0.9199800997040103,-3.4796255767596915,-2.7250210338300525,-2.5825848898031087,-5.307605923633159
1988-09-30,-2.893137720568763,0.22466531285578728,-2.900344842315598,-2.675679529459811,-1.3647559563579792,-4.04043548581779,1.7254298590470947,-1.7638376401953935,-0.038407781148298875,-0.7519714430959781,-0.790379224244277,-2.7140873106081096,-2.1167273994539575,-4.830814710061647,-3.5395348494458267,-0.18581652575899538,0.49216571484429245,0.306349189085297,-1.6626047900990986,-1.3562556010138016,-1.8658359623572953,-0.7598014030950216,-2.625637365452317,-0.9199800997040103,-3.5456174651563273,-2.31928817636702,-2.5825848898031087,-4.901873066170121
1988-12-31,-2.893137720568763,-0.10373296531778131,-2.995484943914986,-3.0992179092327667,-1.3647559563579792,-4.463973865590746,0.46263067344570247,-1.8744074298485314,-1.411776756402829,-0.7519714430959781,-2.163748199498807,-4.510994665635596,-2.1167273994539575,-6.6277220650891175,-3.5395348494458267,0.5658247221500932,0.7064147039251074,1.2722394260752006,-1.6626047900990986,-0.39036536402389804,-1.3541226109095574,-0.740623256816917,-2.0947458677264743,-0.9199800997040103,-3.0147259674304845,-0.8225064416512737,-2.5825848898031087,-3.405091331454375
1989-03-31,-2.893137720568763,0.05921212200298229,-2.966690319762268,-2.907478197759286,-1.3647559563579792,-4.272234154117266,0.6415456030192296,-1.8665760428557767,-1.2250304398365472,-0.7519714430959781,-1.9770018829325253,-4.132508637595833,-2.1167273994539575,-6.24923603704934,-3.5395348494458267,-0.07185652164112366,0.7342375233248056,0.662381001683682,-1.6626047900990986,-1.0002237884154166,-2.678671357610899,-0.7272758750207262,-3.4059472326316254,-0.9199800997040103,-4.3259273323356355,-2.7435662309479434,-2.5825848898031087,-5.326151120751043
