Date,RStar5Y_LB68,RStar5Y_LB95,RStar5Y_UB95,RStar5Y_UB68,RStar5Y_Mean,RStar10Y_Mean,Country
2001-03-31,1.4745310954382695,1.0448502559240578,2.7781406690756922,2.359261763545903,1.9151666674214838,1.6636513507347739,US
2001-06-30,1.4548975154530233,1.0354276360375547,2.762148583571024,2.349667762763263,1.8970457585910203,1.626830148663071,US
2001-09-30,1.1394208994556836,0.7159219012647207,2.4496126670374854,2.0235643277126494,1.5781655115554223,1.3777996197059006,US
2001-12-31,1.2937828031643412,0.8791451498809257,2.5971584829410705,2.1561527253808035,1.7225061145671199,1.483883959266404,US
2002-03-31,1.498462793928113,1.0705828797006802,2.8072286989154045,2.372853732369041,1.9374319773251774,1.6665420235818753,US
2002-06-30,1.429032126614267,1.0069700871260405,2.7421631703069917,2.295462894334513,1.862580648048805,1.6303665371818095,US
2002-09-30,1.1417694053629366,0.7204682837178287,2.4424570217413852,2.0139126589172895,1.5765694079154011,1.4226089185787423,US
2002-12-31,1.0221990878770755,0.6022428520099015,2.3258345699538987,1.8988111614696082,1.4631571618923525,1.3079251615976797,US
2003-03-31,1.1685102316231581,0.7534043407233704,2.4718886960291133,2.0404514331681205,1.6084926377127817,1.3956836221400186,US
2003-06-30,1.3742736735067766,0.9479298837486834,2.6810497806568225,2.254334844067497,1.8147183133087028,1.5809703283691614,US
2003-09-30,1.5736266928529012,1.175178483702152,2.891258619528222,2.4549667942123388,2.0149842005331946,1.7362301778631415,US
2003-12-31,1.6486348008323917,1.2314680465808578,2.948322352405373,2.5252196810654244,2.088401356489562,1.8086884892989308,US
2004-03-31,1.664027696960143,1.2408692380794855,2.969761746735011,2.5283445938560187,2.093792470408981,1.792714752221496,US
2004-06-30,1.6198971771113033,1.218822683383204,2.899687846934351,2.4768263589647512,2.0520155618022726,1.755216690001404,US
2004-09-30,1.5661693716977987,1.1546180392000394,2.8417124721294273,2.4173876646376096,1.9881266610629773,1.7346130605242063,US
2004-12-31,1.5496806211441128,1.1299863134109414,2.818531082382828,2.4011650054531657,1.9720304115552285,1.7087804079953324,US
2005-03-31,1.5247978180538364,1.120883985715484,2.807733414084254,2.3775340973691463,1.9538668682035505,1.6915990107638932,US
2005-06-30,1.3552149900315817,0.9392122699128188,2.629130128470727,2.2106051108664753,1.7817881803758793,1.5608641672703005,US
2005-09-30,1.3780136997376846,0.975620190915158,2.663074068865267,2.226887227118554,1.8040400353052284,1.5764749046057616,US
2005-12-31,1.3248790934004293,0.9238866923660927,2.6028806246617266,2.1663073166999345,1.7463203716377573,1.5366072832048614,US
2006-03-31,1.378677100739519,0.9780685562622524,2.6226908876134805,2.205316404921205,1.7901078477415104,1.5830246411057733,US
2006-06-30,1.524680791500908,1.1310093107726853,2.7743695350791246,2.3543656370628234,1.9367667450774402,1.6944542155734017,US
2006-09-30,1.4559761143632817,1.0605303008998734,2.686978859876048,2.274974208682236,1.8621659603029352,1.6327880452366061,US
2006-12-31,1.5498972629198968,1.152450542162362,2.7602226334388327,2.3623104697829214,1.9580007401878274,1.723462293631568,US
2007-03-31,1.7423497506999912,1.34090887120641,2.941805420524731,2.53271063719614,2.1393215248524915,1.9297152007431633,US
2007-06-30,1.6617165557652616,1.2496119879336627,2.834641019361267,2.4482877819507425,2.0509991315193927,1.8135681012037392,US
2007-09-30,1.502901454149126,1.1318285648900275,2.633919250806983,2.2611894645727073,1.8815054931001536,1.6880190210719985,US
2007-12-31,1.397351618411172,1.0280703334056134,2.4909306147777013,2.128758501773837,1.7624329587819054,1.6248599859055455,US
2008-03-31,1.0796634511085388,0.7321967816725014,2.117789570684673,1.7870404537874085,1.429860882413674,1.3700013477772512,US
2008-06-30,1.1564910190859634,0.839569244267238,2.126629803609519,1.803655661674355,1.4812938306562589,1.3936077273267116,US
2008-09-30,1.0296370454682524,0.7319693407066883,1.9025819786744012,1.6094446563863156,1.3154160754666866,1.2857520417176485,US
2008-12-31,0.034028362999164674,-0.19647468233955845,0.7417061469227528,0.5026418504676002,0.2685853065094791,0.5392272276544632,US
2009-03-31,0.22024895880105322,-0.040559317584221155,1.0032094326335599,0.7555207870449252,0.4899198655837968,0.7186435276391696,US
2009-06-30,0.48703796539686905,0.20053086573742163,1.3003353442902386,1.0433602122573509,0.7661429288194236,0.955974747627223,US
2009-09-30,0.5339838728254247,0.26764648455194506,1.3288580622382993,1.0682672232381671,0.8014229026269352,1.0460797079855972,US
2009-12-31,0.6028660542552833,0.32728351875006534,1.4061146188557947,1.1466683892146476,0.8742504880006342,1.1196012963672581,US
2010-03-31,0.3981624570876727,0.13042580345446653,1.204499673930713,0.9481498533597217,0.6733673024616558,0.963691834561963,US
2010-06-30,-0.1767533840625628,-0.439323937102738,0.6118693654448668,0.357254236042331,0.0867783742723413,0.546677919603991,US
2010-09-30,-0.2562905267778728,-0.522337745743978,0.5551043818968444,0.2812498496423843,0.011739275573123823,0.4774996269167502,US
2010-12-31,-0.22285930182798097,-0.4760481684231115,0.56674767737114,0.31964047022556374,0.04487025923655426,0.4621717601102673,US
2011-03-31,-0.012662111055667946,-0.27201570005006914,0.8000097921801312,0.5458061887950918,0.26402119418192865,0.6376131041724518,US
2011-06-30,-0.5318267681549913,-0.7901177296738928,0.27100722673273925,0.004706334914172272,-0.26282924593676416,0.18987923506496074,US
2011-09-30,-1.0470594064315328,-1.2999103738161382,-0.24921124589732413,-0.504929939602575,-0.7786383886358975,-0.2279156125608537,US
2011-12-31,-1.154558097040776,-1.4019041982608398,-0.3626418827884357,-0.6287248347703152,-0.8891355078699749,-0.397413525631678,US
2012-03-31,-0.9638998521271152,-1.215737398526655,-0.17420552034905157,-0.4394202033359589,-0.7029895770749577,-0.20027948324260092,US
2012-06-30,-1.2051850058942364,-1.4700276431035353,-0.42788143564302983,-0.6791702345680077,-0.9411895815711184,-0.4312657367035766,US
2012-09-30,-1.0947209186412277,-1.3546455662853276,-0.29056818149157015,-0.5653497062419386,-0.8266442185954959,-0.3088158603291695,US
2012-12-31,-0.9872544158719885,-1.25068250317528,-0.18008287843341808,-0.4471708296721726,-0.7180973085417484,-0.18465997404447632,US
2013-03-31,-1.0499887508012615,-1.3095162912122484,-0.23508240373354106,-0.5159932807128547,-0.7837804275468848,-0.2964554366247383,US
2013-06-30,-0.9247947703393571,-1.1923536654428304,-0.12727027902536125,-0.3846820781007385,-0.656612915223343,-0.21867549640128026,US
2013-09-30,-0.9341744797901308,-1.1944921333632639,-0.12061089901591249,-0.38587618346893704,-0.6593959437934441,-0.19160810574898002,US
2013-12-31,-0.9117529165613734,-1.1832490255041113,-0.058048463565683495,-0.35135607135481717,-0.6310017966704339,-0.17824691280119898,US
2014-03-31,-0.8372219695405034,-1.1285979064924434,0.08543583782444619,-0.22030972395310888,-0.5261842567327781,-0.0681924794753126,US
2014-06-30,-0.8371168576434798,-1.1477352811538477,0.1530840362576591,-0.16410392159044163,-0.5019660607096031,-0.07141865914693768,US
2014-09-30,-0.8440495639689374,-1.1696707673185607,0.21200040780934604,-0.13756862187980667,-0.4925880784025744,-0.07240185075302397,US
2014-12-31,-0.9083987855773947,-1.2500646984051147,0.18969929598720703,-0.18038328372359635,-0.5408120617062186,-0.09659392756401863,US
2015-03-31,-0.921802336647906,-1.286158405220188,0.20469739826354383,-0.16570562435577374,-0.5458593633533815,-0.07462307757649311,US
2015-06-30,-0.8499505672696901,-1.2247187471648586,0.31480801089476795,-0.0702018285407453,-0.4599190132347366,-0.010280459353206428,US
2015-09-30,-1.0715607659151707,-1.45168742631861,0.12050475821671491,-0.27977571014851543,-0.674521951467016,-0.17296236447039415,US
2015-12-31,-1.0578342501589288,-1.4311730920969414,0.1473626736152458,-0.24891580295047877,-0.6521204550705577,-0.1602484368676811,US
2016-03-31,-1.1839078142597472,-1.577175823491566,0.030547395400763122,-0.38281800664233767,-0.7835986344085628,-0.2642001843701203,US
2016-06-30,-1.0195200605522445,-1.423794306011163,0.19064560698144795,-0.2148631855788432,-0.6219208607889049,-0.14716911151815038,US
2016-09-30,-0.9057411248985403,-1.3149114138419633,0.2979484667106833,-0.09576277082410645,-0.5041379293715657,-0.0698135851833237,US
2016-12-31,-0.6550971356274666,-1.0567833628507688,0.5670886820834933,0.15490728902644735,-0.25162869131480564,0.10402422846191772,US
2017-03-31,-0.507990665101973,-0.9079693948707237,0.7185990090963643,0.3086146893120789,-0.10071451902562435,0.21927535391750186,US
2017-06-30,-0.4699686793770721,-0.8675366867175356,0.7184076479063704,0.3418304941554864,-0.06679763867739122,0.24329997595259645,US
2017-09-30,-0.3082848212364331,-0.6977396547877386,0.9174611450659569,0.5081044728079795,0.10158455460194318,0.3910501792510981,US
2017-12-31,-0.18352100079780964,-0.5699518358418216,1.0262395981496049,0.6276582654711289,0.22520677845931042,0.5071324625734817,US
2018-03-31,-0.09097067666238567,-0.47117887353251975,1.1213177662158456,0.720396263274105,0.3163753868612952,0.5762805736526067,US
2018-06-30,-0.20021239502013044,-0.5747411773105764,1.002381733741351,0.5797490054446994,0.19430801803742953,0.4706313080819806,US
2018-09-30,-0.1234195176062185,-0.4973905815511439,1.0467081286401452,0.6489543333907866,0.26027336125079464,0.5324004501322095,US
2018-12-31,-0.2278579003739596,-0.5786236390956576,0.9094250072165846,0.5234085684900782,0.1509199311859376,0.4536322011635239,US
2019-03-31,-0.3127594059116281,-0.6666385286515335,0.789660495028607,0.4300846467271644,0.05613968129049475,0.4204954139129182,US
2019-06-30,-0.4284764552471265,-0.7880481160313195,0.6218508052448735,0.2803111581573918,-0.07597663054069581,0.3017316493594555,US
2019-09-30,-0.4713163925995323,-0.792987842314548,0.5419769038950164,0.2040119418272528,-0.13363246388786218,0.2541125399689095,US
2019-12-31,-0.3228482479536181,-0.6176300681255982,0.6001775230064996,0.30603806443906767,-0.01142350085455804,0.3872453393520161,US
2020-03-31,-0.8118770490751324,-1.0933649394419942,0.032211103644502304,-0.2500768131903932,-0.5311460074156946,0.04409990651920048,US
2020-06-30,-0.895057755723808,-1.1646006760921996,-0.06230948192143737,-0.33913573475034386,-0.6189021935643609,-0.051358780486623345,US
2020-09-30,-0.7045684221356852,-0.9802162326572645,0.15034593870489155,-0.13672535728185187,-0.42445086589456416,0.2048463887601879,US
2020-12-31,-0.6948553231208159,-0.965181741421127,0.16109388462862695,-0.1370362475338407,-0.41606242114533026,0.21792843979537357,US
2021-03-31,-0.4817048471367289,-0.7435718111987364,0.3633838196672008,0.07130956989523751,-0.20391171839944036,0.3937145959844268,US
2021-06-30,-0.3440534524358676,-0.6081655670281898,0.485854236040967,0.21237496535801226,-0.06319775527185836,0.5107106320626245,US
2021-09-30,-0.41737505313449796,-0.6806385917481852,0.41768527687740575,0.13337505035992803,-0.141429829614741,0.4447689524226963,US
2021-12-31,-0.2060072632056591,-0.464413624536935,0.6221432620466398,0.33800263487027293,0.06626214258734214,0.5502210386656514,US
2022-03-31,0.3103081006048338,0.060941306283452956,1.0920264502129955,0.8351756904842609,0.5762055327699138,0.7696953751542928,US
2022-06-30,0.33563877200940295,0.0780775149195656,1.1149871151787587,0.8582481620599216,0.5954158820258798,0.7420894648406622,US
2022-09-30,0.9132231818440992,0.6473405110223782,1.732685224284301,1.4662957696186965,1.1885446309418897,1.1101261390390125,US
2022-12-31,0.8459064076038516,0.5805101567652184,1.6517466940694079,1.3862524796102167,1.1182979278651723,1.0629498259230243,US
2023-03-31,1.0611612123567569,0.805489548185697,1.8415217807243422,1.589155872870218,1.3234950617061256,1.344772482124682,US
2023-06-30,1.3475346620712296,1.085261845169077,2.1585106953697895,1.888674936773708,1.6213434759370553,1.4932604889427412,US
2023-09-30,1.67289222988999,1.41026422591985,2.5005808745650704,2.2256935862389455,1.948475636438079,1.7698789753317894,US
2023-12-31,1.3530291927717546,1.1076358956810561,2.1534917178340476,1.8921682395226394,1.6215015855077966,1.6037467262965712,US
2024-03-31,1.5749430926802857,1.3256356412083772,2.3815591121357564,2.1229439862852315,1.8476237306720211,1.792440404443218,US
2024-06-30,1.5971721205863947,1.344088508024337,2.421747337233825,2.1579677317490074,1.878123746344651,1.7739433130431623,US
2024-09-30,1.167241381175428,0.9133226243287569,1.977838296324306,1.7141594448069208,1.4404588858434781,1.5115732993930442,US
2024-12-31,1.656514573569967,1.3763754619285524,2.5160538026741692,2.239950375115584,1.952855056179396,1.8563444424001945,US
2025-03-31,1.2578455305528606,0.9781249019183282,2.117342550014112,1.8304835043414767,1.54443333291406,1.6121996977047484,US
2025-06-30,1.2411232952181417,0.9200672826491847,2.189004922250674,1.8808684348733211,1.5638139530024968,1.64551166080736,US
1972-06-30,2.769797990013987,2.13541514558435,4.647185195493202,4.026598440603292,3.4002716349804425,2.7902940326482137,EA
1972-09-30,2.9647568515703,2.3646957447360286,4.853609089323118,4.23133534968545,3.5980076806377936,2.9480391784222153,EA
