variable,mean,min,median,max,nmissing,eltype
x49,0.48176747899029726,-0.20258805407474798,0.5046880086567017,0.8889597467594912,0,Float64
x50,0.48925983606596624,-0.23051516235394123,0.5453546925313518,0.8905912443368751,0,Float64
x51,0.5207985810144957,-0.21231528050516674,0.5614753153880501,0.8999630788467232,0,Float64
x52,0.45758434284095323,-0.3217697660583963,0.5085287687257387,0.8633306875474962,0,Float64
x53,0.48854666571551486,-0.41301220842010755,0.5375660270460852,0.8804077538650602,0,Float64
x54,0.4662725332702136,-0.24129278879554847,0.47199298037262083,0.8768882577251769,0,Float64
x55,0.4840564770348525,-0.10978708297856332,0.5190885960936604,0.843684355188263,0,Float64
x56,0.4359339384981827,-0.4576131151152949,0.4642613972095104,0.9274275596423406,0,Float64
x57,0.4689778057340069,-0.1009738421347689,0.5272447869745318,0.8483502099835195,0,Float64
x58,0.5039283408493855,-0.06980265318285972,0.5682602735566906,0.8923241578095757,0,Float64
x59,0.5052723360468832,-0.23892928714359296,0.5374561393514083,0.8586076143384138,0,Float64
x60,0.4511790584573295,-0.3161862780487806,0.5055145943359107,0.8799299972251696,0,Float64
x61,0.5347031257678212,-0.23361916196925475,0.5646967785348925,0.882385440764437,0,Float64
x62,0.47568942447495816,-0.3532312369125253,0.48675664386855955,0.8779392500314279,0,Float64
x63,0.48531972135335794,-0.1874584961785728,0.4814359180673868,0.9037373308574936,0,Float64
x64,0.45721915974778704,-0.15369413557448802,0.48388320123419554,0.8863894193849025,0,Float64
x65,0.5104847096809124,-0.0763262378082034,0.5445416314164527,0.8067694295724647,0,Float64
x66,0.5072872633925333,-0.18990471512883272,0.5469648354926886,0.8577981894349981,0,Float64
x67,0.5192334882573069,-0.22202802786824036,0.553368414068321,0.8740560820751199,0,Float64
x68,0.4497223140703155,-0.31751154079876626,0.46587159197984296,0.8361618894884655,0,Float64
x69,0.520633198968301,-0.12370430963789286,0.5593447520744381,0.8972422309215475,0,Float64
x70,0.5053736229144724,-0.29230444254839494,0.5459624765496837,0.8675966504200989,0,Float64
x71,0.5362645503118497,-0.10905976611193169,0.547377755439243,0.8972835837974548,0,Float64
x72,0.5083432310064974,-0.29619292742858094,0.5525335725436455,0.8387091983048042,0,Float64
x73,0.4929476266363961,-0.20719243100091883,0.5219034838912816,0.8864295309154986,0,Float64
x74,0.48687334280594835,-0.2339067495194895,0.5454248445357956,0.8717925559854496,0,Float64
x75,0.5045287095181491,-0.11144103556322225,0.556195457606458,0.9257464137033933,0,Float64
x76,0.48300097956222443,0.010891535828286482,0.5114429311060329,0.8336362449561078,0,Float64
x77,0.4850225162915718,-0.1872606357905222,0.5250304058598445,0.8682676050454299,0,Float64
x78,0.4880577820238279,-0.1685521307462189,0.5067318213834691,0.8642433586229595,0,Float64
x79,0.49863487771261455,-0.13805959541276097,0.5114382924443879,0.8794087194054002,0,Float64
x80,0.529552727076079,-0.20176333779501746,0.5445799435222463,0.8883789543711719,0,Float64
x81,0.47879579062386896,0.01867182060711651,0.49322782333641835,0.8577065219348473,0,Float64
x82,0.4926416149533452,-0.1476088148750789,0.5444566507848614,0.9013006292769621,0,Float64
x83,0.5121220234035836,-0.10948381057021297,0.5273165340378791,0.848243163181996,0,Float64
x84,0.48258876706577036,-0.0690783615832334,0.4915826541831303,0.8902623985030443,0,Float64
x85,0.5093548470028804,-0.17344546687643253,0.5399600916693581,0.8876250679870772,0,Float64
x86,0.4728568159327712,-0.09994774109049119,0.4787874718311617,0.8614373112769659,0,Float64
x87,0.4900710232093791,-0.19958353713709912,0.5136895113802729,0.8388577985714335,0,Float64
x88,0.46415553472076304,-0.17586363682057124,0.4811109739822186,0.8454354108838955,0,Float64
x89,0.5427957567184305,-0.17593960480063686,0.5846880689895302,0.8585022823845768,0,Float64
x90,0.5396540079900232,-0.19149040274636164,0.5628553015191446,0.8750301584620958,0,Float64
x91,0.5303888902177152,-0.08927468547158456,0.5464402283632392,0.881924904425957,0,Float64
x92,0.4502323383319608,-0.14878252346442286,0.48384739066719196,0.8484895646896912,0,Float64
x93,0.5082483088585519,-0.08329862190825221,0.5221165987329603,0.9048789158803108,0,Float64
x94,0.5009921145457841,-0.2882565381616114,0.5384670315698263,0.8652111973458732,0,Float64
x95,0.4565695983463802,-0.12576402379424512,0.47712068333713853,0.850409858015356,0,Float64
x96,0.5218819981144275,-0.06451098885076804,0.572494372394901,0.8782585366759587,0,Float64
x97,0.49758604651686944,-0.14791662915081483,0.49962015621095274,0.8256604787599618,0,Float64
x98,0.5000359307837029,-0.13231114755560386,0.5621393765478704,0.8825629799027122,0,Float64
x99,0.468323603705612,-0.09172049240749243,0.5077237717557814,0.915220374109362,0,Float64
x100,0.5104400367443651,-0.028653939814263257,0.5056144961359157,0.9066977102388918,0,Float64
