date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,BAMLC8A0C15PYEY,GS10,GDI
1970-06-30,1067.375,136677.0,20.108,37.0,78636.0,10.854,20.375,7.88,641.6,166.374,8.98,,7.71,1061.858
1970-09-30,1086.059,137456.0,20.273,36.9,78616.0,11.03,20.602,6.71,653.5,168.821,9.41,,7.46,1079.478
1970-12-31,1088.608,138260.0,20.541,36.8,78643.0,11.137,20.891,5.57,660.2,170.738,9.28,,6.85,1083.461
1971-03-31,1135.156,139034.0,20.853,36.7,78717.0,11.367,21.156,3.86,679.2,177.241,8.53,,6.02,1121.847
1971-06-30,1156.271,139827.0,21.127,36.8,78961.0,11.534,21.397,4.57,693.2,186.455,8.61,,6.25,1143.994
1971-09-30,1177.675,140603.0,21.342,36.7,79511.0,11.692,21.599,5.48,705.6,191.87,8.7,,6.48,1165.451
1971-12-31,1190.297,141402.0,21.52,36.8,80229.0,11.773,21.722,4.75,721.7,198.706,8.41,,5.89,1190.035
1972-03-31,1230.609,143005.0,21.848,36.9,81213.0,12.1,21.931,3.55,739.0,209.741,8.23,,6.03,1225.632
1972-06-30,1266.369,143759.0,21.984,36.9,81875.0,12.242,22.079,4.3,757.4,214.8,8.22,,6.14,1249.073
1972-09-30,1290.566,144523.0,22.194,36.8,82450.0,12.405,22.245,4.74,775.8,219.375,8.17,,6.29,1281.679
1972-12-31,1328.904,145215.0,22.477,36.9,83002.0,12.638,22.385,5.15,800.5,232.224,7.99,,6.37,1331.426
1973-03-31,1377.49,145964.0,22.736,36.9,83842.0,12.972,22.541,6.54,825.0,243.763,7.97,,6.6,1370.82
1973-06-30,1413.887,146720.0,23.086,36.9,84797.0,13.153,22.848,7.82,840.5,249.99,8.09,,6.81,1399.511
1973-09-30,1433.838,147478.0,23.535,36.8,85330.0,13.38,23.151,10.56,858.9,254.574,8.47,,7.21,1431.358
1973-12-31,1476.289,148226.0,24.004,36.8,86236.0,13.651,23.474,10.0,873.9,255.865,8.44,,6.75,1475.234
1974-03-31,1491.209,148987.0,24.457,36.6,86709.0,13.96,23.877,9.33,891.9,255.842,8.54,,7.05,1491.146
1974-06-30,1530.056,149747.0,25.035,36.5,86834.0,14.323,24.47,11.25,920.4,259.975,9.06,,7.54,1520.365
1974-09-30,1560.026,150498.0,25.769,36.5,87079.0,14.747,25.169,12.1,949.3,265.434,9.81,,7.96,1556.456
1974-12-31,1599.679,151253.0,26.527,36.2,86588.0,15.151,25.784,9.34,959.1,260.893,10.57,,7.67,1583.154
1975-03-31,1616.116,151987.0,27.13,35.9,85357.0,15.602,26.288,6.31,985.2,254.335,10.65,,7.54,1600.724
1975-06-30,1651.853,152708.0,27.533,35.9,85332.0,15.933,26.689,5.42,1013.6,257.235,10.63,,8.05,1637.971
1975-09-30,1709.82,153579.0,28.019,36.0,86136.0,16.215,27.089,6.16,1047.2,266.579,10.58,,8.3,1700.816
1975-12-31,1761.831,154336.0,28.488,36.1,86497.0,16.481,27.53,5.41,1076.3,275.888,10.58,,8.06,1746.705
1976-03-31,1820.487,155075.0,28.789,36.2,87686.0,16.798,27.949,4.83,1109.9,289.945,10.26,,7.75,1801.802
1976-06-30,1852.332,155774.0,29.079,36.1,88591.0,17.113,28.284,5.2,1129.5,299.855,9.9,,7.77,1831.4
1976-09-30,1886.558,156527.0,29.455,36.1,89163.0,17.472,28.727,5.28,1158.8,307.501,9.62,,7.73,1869.193
1976-12-31,1934.273,157222.0,29.983,35.9,89570.0,17.844,29.177,4.87,1192.4,327.132,9.21,,7.19,1908.639
1977-03-31,1988.648,157911.0,30.465,35.8,90359.0,18.182,29.668,4.66,1228.2,345.491,9.11,,7.35,1960.906
1977-06-30,2055.909,158652.0,30.895,36.0,91661.0,18.554,30.121,5.16,1256.0,370.233,9.0,,7.37,2035.208
1977-09-30,2118.473,159430.0,31.271,35.9,92409.0,18.914,30.622,5.82,1286.9,383.251,8.83,,7.36,2097.868
1977-12-31,2164.27,160140.0,31.947,35.9,93639.0,19.241,31.067,6.51,1324.8,398.179,8.94,,7.6,2155.534
1978-03-31,2202.76,160829.0,32.411,35.6,94553.0,19.752,31.552,6.76,1354.0,409.346,9.2,,8.01,2199.97
1978-06-30,2331.633,161525.0,33.031,35.8,95835.0,20.09,32.096,7.28,1411.4,446.328,9.47,,8.32,2309.587
1978-09-30,2395.053,162265.0,33.592,35.8,96397.0,20.473,32.647,8.09,1442.2,467.401,9.5,,8.49,2365.857
1978-12-31,2476.949,163024.0,34.279,35.7,97400.0,20.982,33.233,9.58,1481.3,487.269,9.79,,8.82,2437.684
1979-03-31,2526.61,163756.0,34.904,35.7,98252.0,21.521,33.687,10.07,1517.1,501.957,10.16,,9.11,2501.832
1979-06-30,2591.247,164447.0,35.759,35.5,98371.0,22.014,34.427,10.18,1557.6,511.892,10.39,,9.11,2550.227
1979-09-30,2667.565,165200.0,36.541,35.6,99041.0,22.503,35.063,10.94,1611.9,533.49,10.39,,9.1,2609.135
1979-12-31,2723.883,166055.0,37.219,35.6,99637.0,23.07,35.794,13.58,1655.1,539.323,11.82,,10.45,2668.123
1980-03-31,2789.842,166762.0,38.001,35.4,99862.0,23.716,36.67,15.07,1702.3,544.663,13.48,,11.99,2722.05
1980-06-30,2797.352,167416.0,38.905,35.1,98953.0,24.356,37.49,12.67,1704.7,511.544,13.36,,10.48,2741.686
1980-09-30,2856.483,168111.0,39.774,35.0,98899.0,24.973,38.325,9.82,1763.8,528.927,13.17,,10.95,2823.75
1980-12-31,2985.557,168694.0,40.81,35.3,99499.0,25.637,39.258,15.85,1831.9,560.59,14.67,,12.42,2964.663
1981-03-31,3124.206,169279.0,41.885,35.3,100239.0,26.281,40.129,16.6,1885.7,580.626,15.25,,12.96,3064.9
1981-06-30,3162.532,169837.0,42.715,35.3,100801.0,26.736,40.888,17.79,1917.6,598.129,15.77,,13.75,3127.116
1981-09-30,3260.609,170413.0,43.519,35.1,100482.0,27.33,41.641,17.59,1958.1,608.337,16.48,,14.85,3231.849
1981-12-31,3280.818,170990.0,44.271,35.0,100077.0,27.778,42.381,13.59,1974.4,618.589,16.68,,14.09,3253.483
1982-03-31,3274.302,171497.0,44.88,34.7,99709.0,28.506,43.002,14.21,2014.1,609.784,17.03,,14.29,3272.128
1982-06-30,3331.972,172020.0,45.463,34.8,99745.0,28.727,43.583,14.51,2039.6,597.786,16.78,,13.93,3326.727
1982-09-30,3366.322,172522.0,46.108,34.8,99543.0,29.175,44.282,11.01,2085.6,587.157,16.25,,13.12,3360.833
1982-12-31,3402.561,173046.0,46.586,34.6,99120.0,29.603,44.899,9.28,2145.6,589.062,14.39,,10.67,3380.87
1983-03-31,3473.413,173505.0,46.938,34.7,99143.0,29.904,45.488,8.66,2184.6,600.58,13.83,,10.56,3442.826
1983-06-30,3578.848,173957.0,47.286,34.9,99945.0,30.193,45.836,8.8,2249.4,621.454,13.25,,10.54,3526.639
1983-09-30,3689.179,174449.0,47.789,34.9,101611.0,30.357,46.533,9.46,2319.9,656.472,13.53,,11.63,3613.588
1983-12-31,3794.706,174950.0,48.151,35.1,102588.0,30.705,46.905,9.43,2372.5,694.564,13.61,,11.69,3725.69
1984-03-31,3908.054,175679.0,48.639,35.2,103664.0,31.058,47.379,9.69,2418.2,717.89,13.74,,11.94,3866.136
1984-06-30,4009.601,176125.0,49.055,35.1,105040.0,31.385,47.934,10.55,2475.9,749.573,14.7,,13.2,3962.847
1984-09-30,4084.25,176595.0,49.491,35.1,105363.0,31.843,48.384,11.39,2513.5,767.514,14.71,,12.87,4040.395
1984-12-31,4148.551,177132.0,49.861,35.0,105944.0,32.099,48.728,9.26,2561.8,783.762,13.61,,11.74,4115.393
1985-03-31,4230.168,177522.0,50.354,34.9,106615.0,32.505,49.393,8.48,2636.0,793.636,13.39,,11.58,4191.02
1985-06-30,4294.887,177946.0,50.678,34.9,106791.0,32.813,49.821,7.92,2681.8,805.394,13.02,,10.81,4248.348
1985-09-30,4386.773,178413.0,50.984,34.8,107186.0,33.298,50.333,7.9,2754.2,805.854,12.47,,10.34,4325.809
1985-12-31,4444.094,178941.0,51.269,34.8,108023.0,33.927,50.694,8.1,2779.4,826.426,11.98,,9.76,4374.446
1986-03-31,4507.894,179825.0,51.524,34.8,108735.0,34.411,51.241,7.83,2823.6,833.06,11.02,,8.56,4439.594
1986-06-30,4545.34,180321.0,51.719,34.6,109206.0,34.809,51.592,6.92,2851.5,839.574,10.27,,7.6,4468.777
1986-09-30,4607.669,180836.0,51.931,34.6,109970.0,35.244,51.947,6.21,2917.2,842.851,10.18,,7.31,4515.237
1986-12-31,4657.627,181365.0,52.214,34.6,110492.0,35.716,52.37,6.27,2952.8,854.822,10.09,,7.26,4575.53
1987-03-31,4722.156,182001.0,52.548,34.8,111206.0,35.873,52.701,6.22,2983.5,843.222,9.66,,7.19,4652.468
1987-06-30,4806.16,182527.0,52.912,34.7,112158.0,36.135,53.213,6.65,3053.3,858.064,10.36,,8.34,4759.392
1987-09-30,4884.555,183016.0,53.313,34.7,112867.0,36.504,53.69,6.84,3117.3,875.449,10.91,,8.88,4865.151
1987-12-31,5007.994,183467.0,53.738,34.7,113527.0,36.938,54.235,6.92,3150.9,883.376,11.38,,9.12,4969.432
1988-03-31,5073.372,183967.0,54.159,34.6,114093.0,37.582,54.759,6.67,3231.9,891.613,10.75,,8.42,5068.209
1988-06-30,5190.036,184389.0,54.686,34.6,114623.0,38.036,55.422,7.15,3291.7,914.877,10.98,,8.91,5176.433
1988-09-30,5282.835,184840.0,55.34,34.5,115233.0,38.506,56.061,7.98,3361.9,923.828,11.07,,9.1,5285.539
1988-12-31,5399.509,185253.0,55.818,34.6,115947.0,38.796,56.687,8.47,3434.5,943.605,10.51,,8.96,5404.274
1989-03-31,5511.253,185773.0,56.4,34.6,116835.0,38.904,57.306,9.45,3490.2,957.35,10.64,,9.21,5493.904
1989-06-30,5612.463,186178.0,57.001,34.5,117205.0,39.064,57.827,9.73,3553.8,964.79,10.37,,8.77,5542.536
1989-09-30,5695.365,186602.0,57.417,34.5,117494.0,39.414,58.257,9.08,3609.4,986.635,9.89,,8.11,5606.205
1989-12-31,5747.237,187018.0,57.826,34.4,117774.0,39.98,58.791,8.61,3653.7,979.257,9.81,,7.91,5652.361
1990-03-31,5872.701,188520.0,58.45,34.4,119114.0,40.74,59.468,8.25,3737.9,996.884,10.1,,8.42,5767.833
1990-06-30,5960.028,188916.0,59.105,34.3,118995.0,41.531,60.132,8.24,3783.4,981.02,10.31,,8.68,5864.899
1990-09-30,6015.116,189353.0,59.611,34.2,118712.0,42.082,60.74,8.16,3846.7,978.919,10.42,,8.7,5910.988
1990-12-31,6004.733,189866.0,60.055,34.2,118361.0,42.398,61.25,7.74,3867.9,958.787,10.6,,8.4,5927.434
1991-03-31,6035.178,190272.0,60.643,34.1,117782.0,42.645,61.793,6.43,3873.6,940.088,10.2,,8.02,5973.071
1991-06-30,6126.862,190656.0,61.088,34.1,117729.0,43.467,62.27,5.86,3926.9,944.575,9.92,,8.13,6034.491
1991-09-30,6205.937,191121.0,61.566,34.1,117660.0,43.982,62.83,5.65,3973.3,946.633,9.68,,7.94,6098.185
1991-12-31,6264.54,191651.0,61.931,34.1,117679.0,44.573,63.325,4.82,4000.0,947.655,9.4,,7.35,6155.919
1992-03-31,6363.102,192075.0,62.161,34.1,117958.0,45.733,63.809,4.02,4100.4,956.571,9.2,,7.3,6284.7
1992-06-30,6470.763,192507.0,62.535,34.3,118407.0,46.151,64.26,3.77,4155.7,989.875,9.13,,7.38,6375.336
1992-09-30,6566.641,193024.0,62.841,34.2,118753.0,46.682,64.64,3.26,4227.0,1003.65,8.7,,6.62,6427.0
1992-12-31,6680.803,193616.0,63.273,34.2,118834.0,46.928,65.114,3.03,4307.2,1036.618,8.87,,6.74,6532.228
1993-03-31,6729.459,194106.0,63.628,34.2,119297.0,46.587,65.563,3.04,4349.5,1047.889,8.4,,6.28,6546.005
1993-06-30,6808.939,194555.0,64.007,34.3,119960.0,46.932,66.061,3.0,4418.6,1070.375,8.14,,5.99,6664.264
1993-09-30,6882.098,195068.0,64.387,34.4,120626.0,46.953,66.43,3.06,4487.2,1089.254,7.62,,5.62,6717.134
1993-12-31,7013.738,195621.0,64.738,34.4,121152.0,47.292,66.772,2.99,4552.7,1136.53,7.55,,5.61,6885.13
1994-03-31,7115.652,196085.0,65.048,34.4,121994.0,47.018,67.075,3.21,4621.2,1156.312,7.85,,6.07,6956.227
1994-06-30,7246.931,196522.0,65.362,34.5,122596.0,47.415,67.526,3.94,4683.2,1183.538,8.6,,7.08,7098.217
1994-09-30,7331.075,197050.0,65.737,34.5,123245.0,47.398,67.903,4.49,4752.7,1198.526,8.84,,7.33,7205.842
1994-12-31,7455.288,197601.0,66.093,34.5,124450.0,47.773,68.248,5.17,4826.7,1232.424,9.21,,7.84,7331.661
1995-03-31,7522.289,197882.0,66.452,34.4,124849.0,48.048,68.606,5.8,4862.5,1266.407,8.88,,7.48,7401.941
1995-06-30,7580.997,198296.0,66.771,34.2,124629.0,48.447,69.013,6.02,4933.6,1270.229,8.23,,6.62,7480.96
1995-09-30,7683.125,198807.0,67.1,34.3,124934.0,48.708,69.342,5.8,4998.7,1291.922,8.05,,6.32,7610.482
1995-12-31,7772.586,199352.0,67.423,34.2,125221.0,49.105,69.69,5.72,5055.7,1316.705,7.64,,5.89,7696.985
1996-03-31,7868.468,199776.0,67.747,34.1,125542.0,49.635,69.964,5.37,5130.6,1348.472,7.71,,5.91,7820.26
1996-06-30,8032.84,200279.0,68.028,34.3,126280.0,50.101,70.296,5.24,5220.5,1387.867,8.3,,6.72,7967.235
1996-09-30,8131.408,200850.0,68.251,34.4,127218.0,50.487,70.617,5.31,5274.5,1423.28,8.29,,6.78,8066.765
1996-12-31,8259.771,201457.0,68.615,34.4,127840.0,50.784,71.019,5.28,5352.8,1445.403,7.92,NaN,6.34,8210.113
1997-03-31,8362.655,202396.0,69.025,34.4,128496.0,51.357,71.298,5.28,5433.1,1472.659,8.07,7.61,6.56,8349.95
1997-06-30,8518.825,202835.0,69.162,34.5,129340.0,51.826,71.67,5.52,5471.2,1501.843,8.19,7.74,6.7,8474.827
1997-09-30,8662.823,203367.0,69.464,34.6,129950.0,52.339,71.837,5.53,5579.2,1557.316,7.76,7.28,6.24,8648.935
1997-12-31,8765.907,203935.0,69.695,34.6,130504.0,53.288,72.065,5.51,5663.6,1566.877,7.44,7.01,5.91,8795.494
1998-03-31,8866.48,204395.0,69.794,34.5,130782.0,54.196,72.277,5.52,5721.3,1607.224,7.25,6.87,5.59,8894.375
1998-06-30,8969.699,204905.0,69.959,34.4,131259.0,54.875,72.498,5.5,5832.6,1658.434,7.25,6.81,5.6,9046.494
1998-09-30,9121.097,205483.0,70.255,34.4,131568.0,55.759,72.756,5.53,5926.9,1689.202,7.13,6.8,5.2,9210.815
1998-12-31,9293.991,206098.0,70.453,34.5,132294.0,56.066,72.988,4.86,6028.2,1736.947,7.25,6.88,4.67,9325.159
1999-03-31,9411.682,206876.0,70.682,34.4,132943.0,57.065,73.171,4.73,6102.0,1769.668,7.4,6.86,4.98,9486.042
1999-06-30,9526.21,207432.0,70.949,34.4,133215.0,57.302,73.425,4.75,6230.6,1813.23,7.74,7.27,5.54,9567.858
1999-09-30,9686.626,208044.0,71.2,34.4,133571.0,57.802,73.695,5.1,6335.3,1853.219,8.1,7.7,5.88,9695.871
1999-12-31,9900.169,208660.0,71.595,34.4,134275.0,58.967,74.042,5.3,6467.0,1868.855,8.24,7.89,6.14,9892.178
2000-03-31,10002.179,211586.0,72.071,34.4,136619.0,61.04,74.43,5.68,6618.2,1934.493,8.33,8.04,6.48,10156.063
2000-06-30,10247.72,212242.0,72.52,34.3,136947.0,61.2,74.689,6.27,6711.9,1985.342,8.59,8.36,6.18,10287.356
2000-09-30,10318.165,212919.0,72.944,34.3,136695.0,62.38,75.05,6.52,6820.0,2002.736,8.32,8.16,5.89,10442.351
2000-12-31,10435.744,213560.0,73.337,34.1,137341.0,62.747,75.421,6.47,6918.6,2012.884,8.21,8.16,5.57,10501.081
2001-03-31,10470.231,214101.0,73.822,34.1,137724.0,64.136,75.912,5.6,6995.3,2001.963,7.88,7.74,5.05,10679.421
2001-06-30,10599.0,214736.0,74.266,34.0,137088.0,64.41,76.199,4.33,7042.2,1984.593,8.04,7.75,5.27,10732.106
2001-09-30,10598.02,215422.0,74.558,33.9,136719.0,64.472,76.395,3.5,7070.3,1975.026,7.95,7.52,4.98,10718.673
2001-12-31,10660.465,216112.0,74.792,33.8,136226.0,65.079,76.764,2.13,7187.3,1930.92,7.92,7.43,4.77,10664.415
2002-03-31,10783.5,216664.0,75.027,33.8,136105.0,65.35,77.0,1.73,7217.7,1912.366,7.96,7.49,5.08,10826.772
2002-06-30,10887.46,217204.0,75.289,33.9,136360.0,65.949,77.423,1.75,7308.0,1912.113,8.02,7.61,5.1,10967.337
2002-09-30,10984.04,217868.0,75.65,33.9,136807.0,66.285,77.836,1.74,7397.1,1907.764,7.63,7.37,4.26,11051.742
2002-12-31,11061.433,218543.0,76.089,33.8,136652.0,66.433,78.113,1.44,7473.0,1909.528,7.6,7.18,4.01,11197.272
2003-03-31,11174.129,220109.0,76.461,33.7,137444.0,66.829,78.354,1.25,7567.1,1934.14,7.12,6.68,3.92,11245.795
2003-06-30,11312.766,220774.0,76.73,33.6,137656.0,68.008,78.651,1.25,7661.5,1978.873,6.47,6.08,3.62,11377.023
2003-09-30,11566.669,221513.0,77.169,33.6,137544.0,69.015,79.011,1.02,7820.9,2043.866,6.81,6.58,4.23,11565.399
2003-12-31,11772.234,222276.0,77.639,33.7,138273.0,69.992,79.365,1.0,7913.5,2094.966,6.66,6.41,4.29,11734.357
2004-03-31,11923.447,222356.0,78.193,33.7,138489.0,69.849,79.802,1.0,8048.8,2108.027,6.27,6.07,4.02,11916.004
2004-06-30,12112.815,222973.0,78.824,33.7,138902.0,71.185,80.258,1.01,8147.1,2188.618,6.66,6.61,4.6,12148.492
2004-09-30,12305.307,223680.0,79.324,33.7,139539.0,72.51,80.545,1.43,8283.3,2254.106,6.45,6.33,4.3,12376.076
2004-12-31,12527.214,224418.0,79.939,33.8,140029.0,72.789,80.982,1.95,8448.7,2317.993,6.19,6.06,4.17,12540.611
2005-03-31,12767.286,225038.0,80.578,33.7,140428.0,73.229,81.558,2.47,8551.7,2383.59,5.97,5.91,4.3,12750.057
2005-06-30,12922.656,225674.0,81.158,33.7,141526.0,73.725,81.962,2.94,8701.1,2447.639,5.97,5.87,4.16,12964.763
2005-09-30,13142.642,226422.0,81.898,33.7,142287.0,74.697,82.281,3.46,8868.1,2518.722,5.98,5.75,4.21,13180.576
2005-12-31,13324.204,227196.0,82.571,33.8,142600.0,75.126,82.831,3.98,8955.3,2558.875,6.34,6.01,4.49,13489.392
2006-03-31,13599.16,227764.0,83.156,33.8,143449.0,76.539,83.311,4.45,9100.2,2631.526,6.31,6.04,4.57,13795.893
2006-06-30,13753.424,228433.0,83.882,33.8,144068.0,76.673,83.975,4.91,9227.7,2633.739,6.74,6.53,5.07,13973.084
2006-09-30,13870.188,229166.0,84.468,33.8,144547.0,76.886,84.427,5.25,9353.8,2630.666,6.59,6.41,4.9,14125.037
2006-12-31,14039.56,229896.0,84.77,33.9,145606.0,78.097,84.791,5.24,9427.4,2631.93,6.28,6.11,4.63,14207.487
2007-03-31,14215.651,230839.0,85.576,33.8,146135.0,79.885,85.375,5.25,9572.1,2642.923,6.3,6.14,4.68,14341.982
2007-06-30,14402.082,231482.0,86.171,33.8,145851.0,79.83,85.731,5.25,9678.7,2656.992,6.49,6.35,4.85,14511.372
2007-09-30,14564.117,232210.0,86.642,33.8,145944.0,80.194,86.152,5.07,9798.4,2641.047,6.63,6.57,4.73,14465.128
2007-12-31,14715.058,232937.0,86.993,33.8,146271.0,81.161,86.747,4.5,9937.1,2615.279,6.51,6.43,4.26,14529.241
2008-03-31,14706.538,232807.0,87.315,33.7,146207.0,81.929,87.207,3.18,10004.5,2580.374,6.75,6.68,3.66,14574.086
2008-06-30,14865.701,233410.0,87.738,33.7,145926.0,82.059,87.573,2.08,10129.9,2562.847,6.99,6.87,3.89,14617.898
2008-09-30,14898.999,234110.0,88.399,33.6,145270.0,82.91,88.02,1.94,10159.1,2514.067,7.21,7.26,3.86,14711.004
2008-12-31,14608.209,234825.0,88.613,33.4,144090.0,83.999,87.951,0.51,9906.9,2370.13,8.84,8.57,3.25,14411.662
2009-03-31,14430.902,234913.0,88.543,33.2,141500.0,81.739,87.95,0.18,9815.0,2165.874,8.21,7.99,2.74,14162.551
2009-06-30,14381.236,235459.0,88.396,33.0,140304.0,83.895,88.294,0.18,9805.5,2059.651,7.98,7.67,3.31,14188.354
2009-09-30,14448.882,236093.0,88.501,33.1,139404.0,84.572,88.607,0.15,9939.4,2045.422,6.66,6.59,3.52,14263.641
2009-12-31,14651.249,236739.0,88.781,33.2,138368.0,84.96,89.159,0.12,10005.0,2050.795,6.33,6.26,3.46,14530.841
2010-03-31,14764.61,236996.0,89.036,33.2,138590.0,84.144,89.464,0.13,10101.8,2039.398,6.29,6.27,3.72,14652.508
2010-06-30,14980.193,237506.0,89.471,33.4,139226.0,85.159,89.705,0.19,10208.1,2112.087,6.18,6.11,3.49,14865.717
2010-09-30,15141.607,238104.0,89.743,33.5,139338.0,85.668,89.843,0.19,10300.8,2123.598,5.78,5.67,2.79,15136.173
2010-12-31,15309.474,238711.0,90.264,33.5,139155.0,85.954,90.127,0.19,10430.3,2171.138,5.91,5.79,2.86,15263.709
2011-03-31,15351.448,238852.0,90.726,33.5,139428.0,87.587,90.523,0.15,10558.2,2173.885,6.09,5.98,3.46,15358.947
2011-06-30,15557.539,239316.0,91.326,33.6,139531.0,86.814,91.052,0.09,10673.0,2236.305,5.85,5.77,3.21,15573.082
2011-09-30,15647.68,239871.0,91.876,33.6,139883.0,87.505,91.468,0.08,10755.0,2334.873,5.46,5.48,2.43,15700.283
