date,ant1,ant2,ant3,ant4,ant5,ant6,ant7,ant8,ant9,ant10,ant11,ant12,ant13
31-12-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-20,0.017,0.017,0.024,0.025,0.026,0.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-20,0.01,0.003,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-20,0.01725,0.015075,0.01375,0.011225,0.008725,0.007875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-20,0.019425,0.019275,0.020375,0.024475,0.0244,0.02445,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-21,0.01885,0.021025,0.0208,0.02705,0.034025,0.04695,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-21,0.02085,0.02075,0.02145,0.026725,0.03745,0.053325,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-21,0.057875,0.1409,0.18195,0.2379,0.289175,0.334375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-21,0.0497,0.1118,0.15435,0.199575,0.244125,0.283375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-22,0.190625,0.2476,0.3241,0.37885,0.4018,0.41165,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-22,0.328275,0.533575,0.67165,0.81875,0.821275,0.80595,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-22,0.71675,0.88125,0.8998,0.8638,0.819075,0.762775,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-22,NaN,1.224875,1.2507,1.159725,1.05845,0.9543,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-23,NaN,1.280475,1.244275,1.1654,1.05115,0.963025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-23,1.34165,1.33595,1.263325,1.1667,1.071075,0.978575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-23,1.346925,1.345775,1.29555,1.2325,1.179875,1.133025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-23,NaN,1.321775,1.264375,1.1864,1.108775,1.037375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-24,1.314025,1.268625,1.219175,1.17075,1.125325,1.0835,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-24,1.28435,1.1788,1.072925,0.986175,0.9311,0.8929,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-24,NaN,1.089125,0.9516,0.8572,0.8011,0.77245,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
