DATE,DGS20
1990-07-01,.
1990-10-01,.
1991-01-01,.
1991-04-01,.
1991-07-01,.
1991-10-01,.
1992-01-01,.
1992-04-01,.
1992-07-01,.
1992-10-01,.
1993-01-01,.
1993-04-01,.
1993-07-01,.
1993-10-01,6.2859677419354839
1994-01-01,6.6695161290322581
1994-04-01,7.4879032258064516
1994-07-01,7.7175000000000000
1994-10-01,8.0877049180327869
1995-01-01,7.7441935483870968
1995-04-01,6.9969841269841270
1995-07-01,6.7758730158730159
1995-10-01,6.3037096774193548
1996-01-01,6.3840322580645161
1996-04-01,7.0973437500000000
1996-07-01,7.0909375000000000
1996-10-01,6.7148387096774194
1997-01-01,6.9116666666666667
1997-04-01,7.0245312500000000
1997-07-01,6.5918750000000000
1997-10-01,6.2187096774193548
1998-01-01,5.9514754098360656
1998-04-01,5.9320634920634921
1998-07-01,5.6089062500000000
1998-10-01,5.3751612903225806
1999-01-01,5.6718032786885246
1999-04-01,6.0889062500000000
1999-07-01,6.4025000000000000
1999-10-01,6.6164516129032258
2000-01-01,6.5838095238095238
2000-04-01,6.3458730158730159
2000-07-01,6.0996825396825397
2000-10-01,5.8888709677419355
2001-01-01,5.5843548387096774
2001-04-01,5.8441269841269841
2001-07-01,5.6234426229508197
2001-10-01,5.4732258064516129
2002-01-01,5.7446666666666667
2002-04-01,5.7737500000000000
2002-07-01,5.1989062500000000
2002-10-01,5.0156451612903226
2003-01-01,4.9037704918032787
2003-04-01,4.5912698412698413
2003-07-01,5.1701562500000000
2003-10-01,5.1629032258064516
2004-01-01,4.8779032258064516
2004-04-01,5.3556451612903226
2004-07-01,5.0682812500000000
2004-10-01,4.8748387096774194
2005-01-01,4.7640983606557377
2005-04-01,4.5487500000000000
2005-07-01,4.5076562500000000
2005-10-01,4.7675409836065574
2006-01-01,4.7740322580645161
2006-04-01,5.2906349206349206
2006-07-01,5.0853968253968254
2006-10-01,4.8329032258064516
2007-01-01,4.8908064516129032
2007-04-01,5.0690625000000000
2007-07-01,5.0125396825396825
2007-10-01,4.6590322580645161
2008-01-01,4.3990163934426230
2008-04-01,4.5870312500000000
2008-07-01,4.4956250000000000
2008-10-01,3.9462903225806452
2009-01-01,3.6911475409836066
2009-04-01,4.1952380952380952
2009-07-01,4.2834375000000000
2009-10-01,4.2688709677419355
2010-01-01,4.4904918032786885
2010-04-01,4.2012500000000000
2010-07-01,3.5928125000000000
2010-10-01,3.8493548387096774
2011-01-01,4.3191935483870968
2011-04-01,4.0615873015873016
2011-07-01,3.3273437500000000
2011-10-01,2.7503278688524590
2012-01-01,2.7991935483870968
2012-04-01,2.5492187500000000
2012-07-01,2.3649206349206349
2012-10-01,2.4550819672131148
2013-01-01,2.7476666666666667
2013-04-01,2.7751562500000000
2013-07-01,3.4378125000000000
2013-10-01,3.5012903225806452
2014-01-01,3.4188524590163934
2014-04-01,3.1779365079365079
2014-07-01,3.0081250000000000
2014-10-01,2.6916129032258065
2015-01-01,2.3173770491803279
2015-04-01,2.6217187500000000
2015-07-01,2.6456250000000000
2015-10-01,2.5961290322580645
2016-01-01,2.3170491803278689
2016-04-01,2.1467187500000000
2016-07-01,1.9098437500000000
2016-10-01,2.5195081967213115
2017-01-01,2.7837096774193548
2017-04-01,2.6328571428571429
2017-07-01,2.5763492063492063
2017-10-01,2.6164516129032258
2018-01-01,2.9045901639344262
2018-04-01,2.9971875000000000
2018-07-01,2.9963492063492063
2018-10-01,3.1765573770491803
2019-01-01,2.8524590163934426
2019-04-01,2.5898412698412698
2019-07-01,2.0831250000000000
2019-10-01,2.0943548387096774
2020-01-01,1.7000000000000000
2020-04-01,1.1539682539682540
2020-07-01,1.1445312500000000
2020-10-01,1.4040322580645161
2021-01-01,1.9367213114754098
2021-04-01,2.1673437500000000
2021-07-01,1.8571875000000000
2021-10-01,1.9650000000000000
2022-01-01,2.3340322580645161
2022-04-01,3.2470967741935484
2022-07-01,3.5034375000000000
2022-10-01,4.1170491803278689
2023-01-01,3.8998387096774194
2023-04-01,3.9387301587301587
2023-07-01,4.4214285714285714
2023-10-01,4.7711290322580645
