DATE,BAA
1962-07-01,5.0466666666666667
1962-10-01,4.9566666666666667
1963-01-01,4.8933333333333333
1963-04-01,4.8533333333333333
1963-07-01,4.8366666666666667
1963-10-01,4.8400000000000000
1964-01-01,4.8300000000000000
1964-04-01,4.8500000000000000
1964-07-01,4.8233333333333333
1964-10-01,4.8100000000000000
1965-01-01,4.7866666666666667
1965-04-01,4.8200000000000000
1965-07-01,4.8900000000000000
1965-10-01,4.9666666666666667
1966-01-01,5.1666666666666667
1966-04-01,5.4900000000000000
1966-07-01,5.8666666666666667
1966-10-01,6.1366666666666667
1967-01-01,5.8800000000000000
1967-04-01,5.9800000000000000
1967-07-01,6.3300000000000000
1967-10-01,6.7233333333333333
1968-01-01,6.8300000000000000
1968-04-01,7.0233333333333333
1968-07-01,6.8633333333333333
1968-10-01,7.0266666666666667
1969-01-01,7.3766666666666667
1969-04-01,7.5866666666666667
1969-07-01,7.9166666666666667
1969-10-01,8.3733333333333333
1970-01-01,8.7566666666666667
1970-04-01,8.9766666666666667
1970-07-01,9.4100000000000000
1970-10-01,9.2766666666666667
1971-01-01,8.5300000000000000
1971-04-01,8.6066666666666667
1971-07-01,8.7033333333333333
1971-10-01,8.4133333333333333
1972-01-01,8.2333333333333333
1972-04-01,8.2233333333333333
1972-07-01,8.1700000000000000
1972-10-01,7.9933333333333333
1973-01-01,7.9666666666666667
1973-04-01,8.0933333333333333
1973-07-01,8.4666666666666667
1973-10-01,8.4366666666666667
1974-01-01,8.5433333333333333
1974-04-01,9.0633333333333333
1974-07-01,9.8100000000000000
1974-10-01,10.5700000000000000
1975-01-01,10.6466666666666667
1975-04-01,10.6300000000000000
1975-07-01,10.5833333333333333
1975-10-01,10.5800000000000000
1976-01-01,10.2566666666666667
1976-04-01,9.8966666666666667
1976-07-01,9.6200000000000000
1976-10-01,9.2133333333333333
1977-01-01,9.1066666666666667
1977-04-01,8.9966666666666667
1977-07-01,8.8300000000000000
1977-10-01,8.9433333333333333
1978-01-01,9.1966666666666667
1978-04-01,9.4700000000000000
1978-07-01,9.5000000000000000
1978-10-01,9.7866666666666667
1979-01-01,10.1566666666666667
1979-04-01,10.3933333333333333
1979-07-01,10.3933333333333333
1979-10-01,11.8166666666666667
1980-01-01,13.4800000000000000
1980-04-01,13.3566666666666667
1980-07-01,13.1666666666666667
1980-10-01,14.6700000000000000
1981-01-01,15.2466666666666667
1981-04-01,15.7700000000000000
1981-07-01,16.4766666666666667
1981-10-01,16.6833333333333333
1982-01-01,17.0333333333333333
1982-04-01,16.7800000000000000
1982-07-01,16.2500000000000000
1982-10-01,14.3900000000000000
1983-01-01,13.8333333333333333
1983-04-01,13.2500000000000000
1983-07-01,13.5266666666666667
1983-10-01,13.6066666666666667
1984-01-01,13.7433333333333333
1984-04-01,14.7000000000000000
1984-07-01,14.7100000000000000
1984-10-01,13.6066666666666667
1985-01-01,13.3933333333333333
1985-04-01,13.0200000000000000
1985-07-01,12.4700000000000000
1985-10-01,11.9766666666666667
1986-01-01,11.0166666666666667
1986-04-01,10.2733333333333333
1986-07-01,10.1800000000000000
1986-10-01,10.0933333333333333
1987-01-01,9.6600000000000000
1987-04-01,10.3566666666666667
1987-07-01,10.9066666666666667
1987-10-01,11.3800000000000000
1988-01-01,10.7533333333333333
1988-04-01,10.9800000000000000
1988-07-01,11.0733333333333333
1988-10-01,10.5133333333333333
1989-01-01,10.6433333333333333
1989-04-01,10.3666666666666667
1989-07-01,9.8866666666666667
1989-10-01,9.8133333333333333
1990-01-01,10.0966666666666667
1990-04-01,10.3100000000000000
1990-07-01,10.4166666666666667
1990-10-01,10.5966666666666667
1991-01-01,10.2033333333333333
1991-04-01,9.9200000000000000
1991-07-01,9.6833333333333333
1991-10-01,9.4000000000000000
1992-01-01,9.2033333333333333
1992-04-01,9.1300000000000000
1992-07-01,8.7033333333333333
1992-10-01,8.8700000000000000
1993-01-01,8.4033333333333333
1993-04-01,8.1400000000000000
1993-07-01,7.6233333333333333
1993-10-01,7.5533333333333333
1994-01-01,7.8466666666666667
1994-04-01,8.5966666666666667
1994-07-01,8.8400000000000000
1994-10-01,9.2066666666666667
1995-01-01,8.8766666666666667
1995-04-01,8.2333333333333333
1995-07-01,8.0533333333333333
1995-10-01,7.6400000000000000
1996-01-01,7.7100000000000000
1996-04-01,8.2966666666666667
1996-07-01,8.2933333333333333
1996-10-01,7.9166666666666667
1997-01-01,8.0700000000000000
1997-04-01,8.1866666666666667
1997-07-01,7.7566666666666667
1997-10-01,7.4366666666666667
1998-01-01,7.2533333333333333
1998-04-01,7.2533333333333333
1998-07-01,7.1266666666666667
1998-10-01,7.2500000000000000
1999-01-01,7.4033333333333333
1999-04-01,7.7400000000000000
1999-07-01,8.1000000000000000
1999-10-01,8.2400000000000000
2000-01-01,8.3300000000000000
2000-04-01,8.5933333333333333
2000-07-01,8.3200000000000000
2000-10-01,8.2133333333333333
2001-01-01,7.8800000000000000
2001-04-01,8.0366666666666667
2001-07-01,7.9500000000000000
2001-10-01,7.9233333333333333
2002-01-01,7.9566666666666667
2002-04-01,8.0233333333333333
2002-07-01,7.6266666666666667
2002-10-01,7.6000000000000000
2003-01-01,7.1200000000000000
2003-04-01,6.4733333333333333
2003-07-01,6.8066666666666667
2003-10-01,6.6633333333333333
2004-01-01,6.2733333333333333
2004-04-01,6.6633333333333333
2004-07-01,6.4500000000000000
2004-10-01,6.1866666666666667
2005-01-01,5.9666666666666667
2005-04-01,5.9733333333333333
2005-07-01,5.9800000000000000
2005-10-01,6.3366666666666667
2006-01-01,6.3066666666666667
2006-04-01,6.7366666666666667
2006-07-01,6.5933333333333333
2006-10-01,6.2800000000000000
2007-01-01,6.2966666666666667
2007-04-01,6.4933333333333333
2007-07-01,6.6300000000000000
2007-10-01,6.5100000000000000
2008-01-01,6.7500000000000000
2008-04-01,6.9900000000000000
2008-07-01,7.2066666666666667
2008-10-01,8.8400000000000000
2009-01-01,8.2133333333333333
2009-04-01,7.9833333333333333
2009-07-01,6.6600000000000000
2009-10-01,6.3266666666666667
2010-01-01,6.2866666666666667
2010-04-01,6.1766666666666667
2010-07-01,5.7766666666666667
2010-10-01,5.9133333333333333
2011-01-01,6.0900000000000000
2011-04-01,5.8500000000000000
2011-07-01,5.4633333333333333
2011-10-01,5.2533333333333333
2012-01-01,5.2000000000000000
2012-04-01,5.0933333333333333
2012-07-01,4.8733333333333333
2012-10-01,4.5733333333333333
2013-01-01,4.8100000000000000
2013-04-01,4.8366666666666667
2013-07-01,5.4033333333333333
2013-10-01,5.3566666666666667
2014-01-01,5.1166666666666667
2014-04-01,4.8200000000000000
2014-07-01,4.7400000000000000
2014-10-01,4.7400000000000000
2015-01-01,4.5000000000000000
2015-04-01,4.8333333333333333
2015-07-01,5.2433333333333333
2015-10-01,5.4200000000000000
2016-01-01,5.3066666666666667
2016-04-01,4.6666666666666667
2016-07-01,4.2566666666666667
2016-10-01,4.6400000000000000
2017-01-01,4.6600000000000000
2017-04-01,4.4966666666666667
2017-07-01,4.3333333333333333
2017-10-01,4.2700000000000000
2018-01-01,4.4700000000000000
2018-04-01,4.7766666666666667
2018-07-01,4.8133333333333333
2018-10-01,5.1400000000000000
2019-01-01,4.9700000000000000
2019-04-01,4.5966666666666667
2019-07-01,4.0200000000000000
2019-10-01,3.9133333333333333
2020-01-01,3.8900000000000000
2020-04-01,3.9066666666666667
2020-07-01,3.3133333333333333
2020-10-01,3.3000000000000000
2021-01-01,3.4666666666666667
2021-04-01,3.5533333333333333
2021-07-01,3.2366666666666667
2021-10-01,3.3100000000000000
2022-01-01,3.9466666666666667
2022-04-01,5.0166666666666667
2022-07-01,5.3500000000000000
2022-10-01,5.9733333333333333
2023-01-01,5.6000000000000000
2023-04-01,5.6833333333333333
2023-07-01,5.9733333333333333
2023-10-01,6.1866666666666667
2024-01-01,.
