DATE;CNP16OV;HP filtered
1959-07-01;115429;115465.167741024
1959-08-01;115555;115614.296656979
1959-09-01;115668;115764.299564989
1959-10-01;115798;115914.952743655
1959-11-01;115916;116065.97228435
1959-12-01;116040;116217.001182981
1960-01-01;116594;116367.588702779
1960-02-01;116702;116517.173481234
1960-03-01;116827;116665.335662898
1960-04-01;116910;116811.770908896
1960-05-01;117033;116956.275920564
1960-06-01;117167;117098.708792422
1960-07-01;117281;117238.975571537
1960-08-01;117431;117377.024986982
1960-09-01;117521;117512.832033096
1960-10-01;117643;117646.405438605
1960-11-01;117829;117777.759037211
1960-12-01;118001;117906.904534218
1961-01-01;118155;118033.885660531
1961-02-01;118250;118158.804956724
1961-03-01;118358;118281.840659828
1961-04-01;118503;118403.228003782
1961-05-01;118638;118523.249822108
1961-06-01;118767;118642.251305827
1961-07-01;118889;118760.649364823
1961-08-01;119006;118878.93887691
1961-09-01;119107;118997.694939054
1961-10-01;119202;119117.572061419
1961-11-01;119153;119239.293069832
1961-12-01;119214;119363.633557585
1962-01-01;119300;119491.315184799
1962-02-01;119360;119622.96609062
1962-03-01;119476;119759.094842207
1962-04-01;119702;119900.04565291
1962-05-01;119813;120045.985801803
1962-06-01;119943;120196.958789427
1962-07-01;120128;120352.862500198
1962-08-01;120323;120513.436094286
1962-09-01;120653;120678.278192802
1962-10-01;120856;120846.868394294
1962-11-01;121045;121018.670498443
1962-12-01;121236;121193.154012182
1963-01-01;121463;121369.804898382
1963-02-01;121633;121548.135898657
1963-03-01;121824;121727.718001559
1963-04-01;121986;121908.175235705
1963-05-01;122162;122089.191805959
1963-06-01;122352;122270.500557663
1963-07-01;122521;122451.879841282
1963-08-01;122667;122633.15894443
1963-09-01;122821;122814.210354821
1963-10-01;123014;122994.927710831
1963-11-01;123192;123175.208894361
1963-12-01;123360;123354.963707494
1964-01-01;123560;123534.112446755
1964-02-01;123707;123712.578556351
1964-03-01;123857;123890.301660209
1964-04-01;124019;124067.217895659
1964-05-01;124204;124243.242586494
1964-06-01;124386;124418.26092032
1964-07-01;124567;124592.13355813
1964-08-01;124731;124764.700997838
1964-09-01;124920;124935.788028887
1964-10-01;125108;125105.198377594
1964-11-01;125291;125272.725902759
1964-12-01;125468;125438.166214197
1965-01-01;125647;125601.326343033
1965-02-01;125810;125762.031966507
1965-03-01;125985;125920.137307897
1965-04-01;126155;126075.526570499
1965-05-01;126320;126228.124496793
1965-06-01;126499;126377.905500154
1965-07-01;126573;126524.901416144
1965-08-01;126756;126669.219764388
1965-09-01;126906;126810.998126127
1965-10-01;127043;126950.428320249
1965-11-01;127171;127087.761541812
1965-12-01;127294;127223.306843174
1966-01-01;127394;127357.425300731
1966-02-01;127514;127490.522174101
1966-03-01;127626;127623.025582088
1966-04-01;127744;127755.378317139
1966-05-01;127879;127888.025030711
1966-06-01;127983;128021.403262813
1966-07-01;128102;128155.94491281
1966-08-01;128240;128292.057878028
1966-09-01;128359;128430.116340221
1966-10-01;128494;128570.461944972
1966-11-01;128627;128713.39189015
1966-12-01;128730;128859.155584907
1967-01-01;128909;129007.948443466
1967-02-01;129032;129159.885157808
1967-03-01;129190;129315.018577136
1967-04-01;129344;129473.321622432
1967-05-01;129515;129634.689078065
1967-06-01;129722;129798.934902391
1967-07-01;129918;129965.798248093
1967-08-01;130187;130134.970183537
1967-09-01;130392;130306.111903188
1967-10-01;130582;130478.917120142
1967-11-01;130754;130653.13322756
1967-12-01;130936;130828.572045399
1968-01-01;131112;131005.10843535
1968-02-01;131277;131182.684401577
1968-03-01;131412;131361.308755471
1968-04-01;131553;131541.049255671
1968-05-01;131712;131722.005342845
1968-06-01;131872;131904.283926876
1968-07-01;132053;132087.985664308
1968-08-01;132251;132273.19103423
1968-09-01;132446;132459.958649691
1968-10-01;132617;132648.333254344
1968-11-01;132903;132838.350867686
1968-12-01;133120;133030.027925929
1969-01-01;133324;133223.421270994
1969-02-01;133465;133418.643977348
1969-03-01;133639;133615.871981163
1969-04-01;133821;133815.310191125
1969-05-01;134027;134017.177970933
1969-06-01;134213;134221.698240415
1969-07-01;134414;134429.100058169
1969-08-01;134597;134639.60704639
1969-09-01;134774;134853.43338974
1969-10-01;135012;135070.766643475
1969-11-01;135239;135291.744716981
1969-12-01;135489;135516.468790495
1970-01-01;135713;135745.007078805
1970-02-01;135957;135977.410628702
1970-03-01;136179;136213.710482558
1970-04-01;136416;136453.924926098
1970-05-01;136686;136698.050550996
1970-06-01;136928;136946.06024585
1970-07-01;137196;137197.919367659
1970-08-01;137455;137453.581985772
1970-09-01;137717;137713.000969932
1970-10-01;137988;137976.130076141
1970-11-01;138264;138242.925559795
1970-12-01;138529;138513.351094991
1971-01-01;138795;138787.383527354
1971-02-01;139021;139065.009483071
1971-03-01;139285;139346.220348627
1971-04-01;139566;139630.98000458
1971-05-01;139826;139919.214068769
1971-06-01;140090;140210.80754653
1971-07-01;140343;140505.587184408
1971-08-01;140596;140803.304224228
1971-09-01;140869;141103.608290829
1971-10-01;141146;141406.019443906
1971-11-01;141393;141709.911112974
1971-12-01;141666;142014.494215396
1972-01-01;142736;142318.781599089
1972-02-01;143017;142621.568303084
1972-03-01;143263;142921.910127914
1972-04-01;143483;143219.110018924
1972-05-01;143760;143512.684102625
1972-06-01;144033;143802.313436769
1972-07-01;144285;144087.833651544
1972-08-01;144522;144369.224556239
1972-09-01;144761;144646.589189111
1972-10-01;144988;144920.12607307
1972-11-01;145211;145190.10523778
1972-12-01;145446;145456.839134114
1973-01-01;145720;145720.653272168
1973-02-01;145943;145981.866387581
1973-03-01;146230;146240.796807694
1973-04-01;146459;146497.738568359
1973-05-01;146719;146752.978957422
1973-06-01;146981;147006.781051123
1973-07-01;147233;147259.386688855
1973-08-01;147471;147511.021596854
1973-09-01;147731;147761.895009673
1973-10-01;147980;148012.191148369
1973-11-01;148219;148262.07492462
1973-12-01;148479;148511.691130631
1974-01-01;148753;148761.157636784
1974-02-01;148982;149010.571881502
1974-03-01;149225;149260.026204685
1974-04-01;149478;149509.595088807
1974-05-01;149750;149759.331124966
1974-06-01;150012;150009.267157327
1974-07-01;150248;150259.430198102
1974-08-01;150493;150509.848967533
1974-09-01;150753;150760.545041983
1974-10-01;151009;151011.529467214
1974-11-01;151256;151262.808573335
1974-12-01;151494;151514.38710954
1975-01-01;151755;151766.265569662
1975-02-01;151990;152018.431705591
1975-03-01;152217;152270.866228239
1975-04-01;152443;152523.532078698
1975-05-01;152704;152776.358531669
1975-06-01;152976;153029.224529305
1975-07-01;153309;153281.963789675
1975-08-01;153580;153534.376765517
1975-09-01;153848;153786.280807203
1975-10-01;154082;154037.521779623
1975-11-01;154338;154287.984122165
1975-12-01;154589;154537.580073104
1976-01-01;154853;154786.253130637
1976-02-01;155066;155033.978930419
1976-03-01;155306;155280.774824896
1976-04-01;155529;155526.678179681
1976-05-01;155765;155771.742126124
1976-06-01;156027;156016.021246712
1976-07-01;156276;156259.565910102
1976-08-01;156525;156502.433346674
1976-09-01;156779;156744.691058113
1976-10-01;156993;156986.420650261
1976-11-01;157235;157227.72517205
1976-12-01;157438;157468.711784506
1977-01-01;157688;157709.492195422
1977-02-01;157913;157950.158917724
1977-03-01;158131;158190.791031719
1977-04-01;158371;158431.444393389
1977-05-01;158657;158672.137489319
1977-06-01;158929;158912.851028352
1977-07-01;159185;159153.556258397
1977-08-01;159430;159394.234520473
1977-09-01;159674;159634.886807935
1977-10-01;159915;159875.536467563
1977-11-01;160129;160116.231291884
1977-12-01;160377;160357.043738132
1978-01-01;160617;160598.054243981
1978-02-01;160831;160839.355719771
1978-03-01;161038;161081.052916941
1978-04-01;161263;161323.245364601
1978-05-01;161518;161566.005683792
1978-06-01;161795;161809.3688422
1978-07-01;162034;162053.339803958
1978-08-01;162259;162297.914552675
1978-09-01;162502;162543.07698458
1978-10-01;162783;162788.786674308
1978-11-01;163017;163034.97752338
1978-12-01;163272;163281.579816642
1979-01-01;163516;163528.51260299
1979-02-01;163726;163775.688943936
1979-03-01;164027;164023.014080613
1979-04-01;164162;164270.362198564
1979-05-01;164459;164517.609974532
1979-06-01;164721;164764.566358888
1979-07-01;164970;165011.003670765
1979-08-01;165198;165256.667000325
1979-09-01;165431;165501.275810434
1979-10-01;165813;165744.512897082
1979-11-01;166051;165986.017133881
1979-12-01;166300;166225.470198879
1980-01-01;166544;166462.594384416
1980-02-01;166759;166697.158563958
1980-03-01;166984;166928.982489482
1980-04-01;167197;167157.924563861
1980-05-01;167407;167383.877575912
1980-06-01;167643;167606.7587366
1980-07-01;167932;167826.499708405
1980-08-01;168103;168043.054804597
1980-09-01;168297;168256.444276127
1980-10-01;168503;168466.725839695
1980-11-01;168695;168673.982559327
1980-12-01;168883;168878.320170398
1981-01-01;169104;169079.857544187
1981-02-01;169280;169278.716476864
1981-03-01;169453;169475.033853633
1981-04-01;169641;169668.947361902
1981-05-01;169829;169860.58091792
1981-06-01;170042;170050.040970833
1981-07-01;170246;170237.414231717
1981-08-01;170399;170422.782386037
1981-09-01;170593;170606.232485366
1981-10-01;170809;170787.836717286
1981-11-01;170996;170967.658999072
1981-12-01;171166;171145.776475055
1982-01-01;171335;171322.28400269
1982-02-01;171489;171497.289079134
1982-03-01;171667;171670.907149043
1982-04-01;171844;171843.2484764
1982-05-01;172026;172014.420883216
1982-06-01;172190;172184.532661209
1982-07-01;172364;172353.699339042
1982-08-01;172511;172522.039862465
1982-09-01;172690;172689.679615141
1982-10-01;172881;172856.737080821
1982-11-01;173058;173023.330943493
1982-12-01;173199;173189.595051473
1983-01-01;173354;173355.684921234
1983-02-01;173505;173521.761947345
1983-03-01;173656;173687.986471297
1983-04-01;173794;173854.508358365
1983-05-01;173953;174021.457482279
1983-06-01;174125;174188.925899044
1983-07-01;174306;174356.962878741
1983-08-01;174440;174525.577737762
1983-09-01;174602;174694.747940701
1983-10-01;174779;174864.397466065
1983-11-01;174951;175034.392324898
1983-12-01;175121;175204.545154828
1984-01-01;175533;175374.616473281
1984-02-01;175679;175544.314581959
1984-03-01;175824;175713.446772271
1984-04-01;175969;175881.904514009
1984-05-01;176123;176049.648372734
1984-06-01;176284;176216.693348687
1984-07-01;176440;176383.100286875
1984-08-01;176583;176548.97209896
1984-09-01;176763;176714.447258927
1984-10-01;176956;176879.685508199
1984-11-01;177135;177044.876933662
1984-12-01;177306;177210.259318758
1985-01-01;177384;177376.126773848
1985-02-01;177516;177542.833247216
1985-03-01;177667;177710.737607913
1985-04-01;177799;177880.181954213
1985-05-01;177944;178051.481048381
1985-06-01;178096;178224.898913963
1985-07-01;178263;178400.63239885
1985-08-01;178405;178578.797789111
1985-09-01;178572;178759.425350566
1985-10-01;178770;178942.436725416
1985-11-01;178940;179127.636415018
1985-12-01;179112;179314.721147778
1986-01-01;179670;179503.27037934
1986-02-01;179821;179692.736864632
1986-03-01;179985;179882.677564593
1986-04-01;180148;180072.729604624
1986-05-01;180311;180262.594061647
1986-06-01;180503;180452.019056581
1986-07-01;180682;180640.782964056
1986-08-01;180828;180828.696021794
1986-09-01;180997;181015.594228161
1986-10-01;181186;181201.313146512
1986-11-01;181363;181385.676718808
1986-12-01;181547;181568.499316295
1987-01-01;181827;181749.581137267
1987-02-01;181998;181928.708942949
1987-03-01;182179;182105.717881352
1987-04-01;182344;182280.4864074
1987-05-01;182533;182452.938777338
1987-06-01;182703;182623.03894341
1987-07-01;182885;182790.800896123
1987-08-01;183002;182956.288601643
1987-09-01;183161;183119.624900577
1987-10-01;183311;183280.961203156
1987-11-01;183470;183440.474779048
1987-12-01;183620;183598.36167217
1988-01-01;183822;183754.8363797
1988-02-01;183969;183910.126922772
1988-03-01;184111;184064.503299783
1988-04-01;184232;184218.272304803
1988-05-01;184374;184371.76979234
1988-06-01;184562;184525.34019671
1988-07-01;184729;184679.32934611
1988-08-01;184830;184834.105981113
1988-09-01;184962;184990.069886454
1988-10-01;185114;185147.618280624
1988-11-01;185244;185307.130838441
1988-12-01;185402;185468.966223293
1989-01-01;185644;185633.443641797
1989-02-01;185777;185800.840446678
1989-03-01;185897;185971.440588386
1989-04-01;186024;186145.513117093
1989-05-01;186181;186323.280557601
1989-06-01;186329;186504.889489016
1989-07-01;186483;186690.397565093
1989-08-01;186598;186879.752508659
1989-09-01;186726;187072.772419062
1989-10-01;186871;187269.09930033
1989-11-01;187017;187468.158423732
1989-12-01;187165;187669.126248473
1990-01-01;188413;187870.897259742
1990-02-01;188516;188072.050863826
1990-03-01;188630;188271.50528122
1990-04-01;188778;188468.456200633
1990-05-01;188913;188662.323369972
1990-06-01;189058;188852.720002018
1990-07-01;189188;189039.415982446
1990-08-01;189342;189222.30949693
1990-09-01;189528;189401.391596155
1990-10-01;189710;189576.72813737
1990-11-01;189872;189748.464108078
1990-12-01;190017;189916.827790694
1991-01-01;190163;190082.124677566
1991-02-01;190271;190244.722868674
1991-03-01;190381;190405.041011073
1991-04-01;190517;190563.514175025
1991-05-01;190650;190720.562405162
1991-06-01;190800;190876.576674754
1991-07-01;190946;191031.90385557
1991-08-01;191116;191186.842958955
1991-09-01;191302;191341.639306346
1991-10-01;191497;191496.49394233
1991-11-01;191657;191651.583136928
1991-12-01;191798;191807.083476447
1992-01-01;191953;191963.174932731
1992-02-01;192067;192120.031800456
1992-03-01;192204;192277.822014959
1992-04-01;192354;192436.680366708
1992-05-01;192503;192596.695507405
1992-06-01;192663;192757.904413529
1992-07-01;192826;192920.285501862
1992-08-01;193018;193083.757873932
1992-09-01;193229;193248.181702823
1992-10-01;193442;193413.376062953
1992-11-01;193621;193579.148040173
1992-12-01;193784;193745.322610295
1993-01-01;193962;193911.750906605
1993-02-01;194108;194078.30823576
1993-03-01;194248;194244.901310099
1993-04-01;194398;194411.455399312
1993-05-01;194549;194577.897709774
1993-06-01;194719;194744.147038232
1993-07-01;194882;194910.104120366
1993-08-01;195063;195075.653974957
1993-09-01;195259;195240.664055711
1993-10-01;195444;195404.9939076
1993-11-01;195625;195568.514535559
1993-12-01;195794;195731.121323335
1994-01-01;195953;195892.744958085
1994-02-01;196090;196053.355426143
1994-03-01;196213;196212.960373244
1994-04-01;196363;196371.590347978
1994-05-01;196510;196529.275923706
1994-06-01;196693;196686.04230482
1994-07-01;196859;196841.902648258
1994-08-01;197043;196996.87445952
1994-09-01;197248;197150.98592995
1994-10-01;197430;197304.294079353
1994-11-01;197607;197456.91656133
1994-12-01;197765;197609.049595682
1995-01-01;197753;197760.983204358
1995-02-01;197886;197913.104878311
1995-03-01;198007;198065.797118991
1995-04-01;198148;198219.425487297
1995-05-01;198286;198374.318795932
1995-06-01;198453;198530.761216667
1995-07-01;198615;198688.981722027
1995-08-01;198801;198849.160683776
1995-09-01;199005;199011.432235101
1995-10-01;199192;199175.900408764
1995-11-01;199355;199342.665217377
1995-12-01;199508;199511.836735798
1996-01-01;199634;199683.532748126
1996-02-01;199773;199857.868640496
1996-03-01;199921;200034.928841079
1996-04-01;200101;200214.744735144
1996-05-01;200278;200397.276502435
1996-06-01;200459;200582.413232235
1996-07-01;200641;200769.969466015
1996-08-01;200847;200959.682611975
1996-09-01;201061;201151.209472399
1996-10-01;201273;201344.136422938
1996-11-01;201463;201537.993458323
1996-12-01;201636;201732.266113021
1997-01-01;202285;201926.393050586
1997-02-01;202389;202119.752768254
1997-03-01;202513;202311.947892601
1997-04-01;202674;202502.749329726
1997-05-01;202832;202692.053643293
1997-06-01;203000;202879.864428636
1997-07-01;203166;203066.272747562
1997-08-01;203364;203251.444746609
1997-09-01;203570;203435.60890185
1997-10-01;203767;203619.064036388
1997-11-01;203941;203802.192967766
1997-12-01;204098;203985.470973502
1998-01-01;204238;204169.460085509
1998-02-01;204400;204354.792666342
1998-03-01;204547;204542.143916003
1998-04-01;204731;204732.217289078
1998-05-01;204899;204925.719275203
1998-06-01;205085;205123.355603211
1998-07-01;205270;205325.815302387
1998-08-01;205479;205533.763429764
1998-09-01;205699;205747.83015781
1998-10-01;205919;205968.611431852
1998-11-01;206104;206196.672678366
1998-12-01;206270;206432.548316684
1999-01-01;206719;206676.714845715
1999-02-01;206873;206929.547171668
1999-03-01;207036;207191.446628974
1999-04-01;207236;207462.779210085
1999-05-01;207427;207743.813753304
1999-06-01;207632;208034.677359934
1999-07-01;207828;208335.299122676
1999-08-01;208038;208645.356460887
1999-09-01;208265;208964.209731967
1999-10-01;208483;209290.839695532
1999-11-01;208666;209623.790105112
1999-12-01;208832;209961.099814431
2000-01-01;211410;210300.209058394
2000-02-01;211576;210637.852384525
2000-03-01;211772;210971.457959683
2000-04-01;212018;211299.04029299
2000-05-01;212242;211619.114232341
2000-06-01;212466;211930.64397545
2000-07-01;212677;212232.983023634
2000-08-01;212916;212525.819475725
2000-09-01;213163;212809.118941168
2000-10-01;213405;213083.090892232
2000-11-01;213540;213348.165976851
2000-12-01;213736;213604.976036149
2001-01-01;213888;213854.272807516
2001-02-01;214110;214096.889918319
2001-03-01;214305;214333.682075419
2001-04-01;214525;214565.51217948
2001-05-01;214732;214793.225204869
2001-06-01;214950;215017.640805839
2001-07-01;215180;215239.540370891
2001-08-01;215420;215459.663013023
2001-09-01;215665;215678.7106325
2001-10-01;215903;215897.360340205
2001-11-01;216117;216116.280677875
2001-12-01;216315;216336.143712036
2002-01-01;216506;216557.621958787
2002-02-01;216663;216781.374719411
2002-03-01;216823;217008.029031464
2002-04-01;217006;217238.137948303
2002-05-01;217198;217472.138880141
2002-06-01;217407;217710.324150973
2002-07-01;217630;217952.814747994
2002-08-01;217866;218199.542080804
2002-09-01;218107;218450.235799786
2002-10-01;218340;218704.417091524
2002-11-01;218548;218961.392620225
2002-12-01;218741;219220.241289414
2003-01-01;219897;219479.78363223
2003-02-01;220114;219738.540656005
2003-03-01;220317;219995.294128301
2003-04-01;220540;220249.06047877
2003-05-01;220768;220499.057203235
2003-06-01;221014;220744.683634719
2003-07-01;221252;220985.507195492
2003-08-01;221507;221221.263630555
2003-09-01;221779;221451.855242908
2003-10-01;222039;221677.362920785
2003-11-01;222279;221898.072017891
2003-12-01;222509;222114.493911109
2004-01-01;222161;222327.378057306
2004-02-01;222357;222537.720479659
2004-03-01;222550;222746.413215055
2004-04-01;222757;222954.235350086
2004-05-01;222967;223161.84321308
2004-06-01;223196;223369.769860275
2004-07-01;223422;223578.426570898
2004-08-01;223677;223788.116018014
2004-09-01;223941;223999.043108082
2004-10-01;224192;224211.34330005
2004-11-01;224422;224425.115775922
2004-12-01;224640;224640.44762814
2005-01-01;224837;224857.424001788
2005-02-01;225041;225076.129762179
2005-03-01;225236;225296.637009627
2005-04-01;225441;225518.995888346
2005-05-01;225670;225743.218644415
2005-06-01;225911;225969.268776486
2005-07-01;226153;226197.064021558
2005-08-01;226421;226426.485698643
2005-09-01;226693;226657.387586741
2005-10-01;226959;226889.620036289
2005-11-01;227204;227123.055655484
2005-12-01;227425;227357.610414999
2006-01-01;227553;227593.250875723
2006-02-01;227763;227829.985717034
2006-03-01;227975;228067.798461515
2006-04-01;228199;228306.630765674
2006-05-01;228428;228546.366286981
2006-06-01;228671;228786.821413679
2006-07-01;228912;229027.738555079
2006-08-01;229167;229268.787732111
2006-09-01;229420;229509.566629107
2006-10-01;229675;229749.609313065
2006-11-01;229905;229988.393871843
2006-12-01;230108;230225.351762475
2007-01-01;230650;230459.862320828
2007-02-01;230834;230691.231537916
2007-03-01;231034;230918.884240803
2007-04-01;231253;231142.334486842
2007-05-01;231480;231361.168280733
2007-06-01;231713;231575.040793126
2007-07-01;231958;231783.681464492
2007-08-01;232211;231986.905959808
2007-09-01;232461;232184.638893135
2007-10-01;232715;232376.944937309
2007-11-01;232939;232564.061490859
2007-12-01;233156;232746.437236727
2008-01-01;232616;232924.755194423
2008-02-01;232809;233099.954360185
2008-03-01;232995;233272.780758253
2008-04-01;233198;233443.798566395
2008-05-01;233405;233613.398349401
2008-06-01;233627;233781.81704796
2008-07-01;233864;233949.161353791
2008-08-01;234107;234115.44119796
2008-09-01;234360;234280.613285685
2008-10-01;234612;234444.629046436
2008-11-01;234828;234607.489526379
2008-12-01;235035;234769.300378526
2009-01-01;234739;234930.305074936
2009-02-01;234913;235090.913149931
2009-03-01;235086;235251.41457216
2009-04-01;235271;235411.988114555
2009-05-01;235452;235572.709165941
2009-06-01;235655;235733.564997568
2009-07-01;235870;235894.467437461
2009-08-01;236087;236055.27921052
2009-09-01;236322;236215.847749497
2009-10-01;236550;236376.040312637
2009-11-01;236743;236535.790503342
2009-12-01;236924;236695.140649818
2010-01-01;236832;236854.262586207
2010-02-01;236998;237013.471183745
2010-03-01;237159;237173.067399551
2010-04-01;237329;237333.342521255
2010-05-01;237499;237494.579044362
2010-06-01;237690;237657.0567503
2010-07-01;237890;237821.058183597
2010-08-01;238099;237986.88647831
2010-09-01;238322;238154.887857131
2010-10-01;238530;238325.478613705
2010-11-01;238715;238499.179486765
2010-12-01;238889;238676.63904091
2011-01-01;238704;238858.640728563
2011-02-01;238851;239046.100727741
2011-03-01;239000;239239.838566011
2011-04-01;239146;239440.551832981
2011-05-01;239313;239648.788219157
2011-06-01;239489;239864.911320151
2011-07-01;239671;240089.074863935
2011-08-01;239871;240321.197633907
2011-09-01;240071;240560.937116677
2011-10-01;240269;240807.66942533
2011-11-01;240441;241060.464462256
2011-12-01;240584;241318.055461454
2012-01-01;242269;241578.788491633
2012-02-01;242435;241840.55083684
2012-03-01;242604;242101.661163313
2012-04-01;242784;242360.809668018
2012-05-01;242966;242617.000509694
2012-06-01;243155;242869.502341038
2012-07-01;243354;243117.801939428
2012-08-01;243566;243361.564518278
2012-09-01;243772;243600.60291479
2012-10-01;243983;243834.857738344
2012-11-01;244174;244064.376721496
2012-12-01;244350;244289.300185716
2013-01-01;244663;244509.836967024
2013-02-01;244828;244726.233838823
2013-03-01;244995;244938.833301412
2013-04-01;245175;245148.041458941
2013-05-01;245363;245354.299519745
2013-06-01;245552;245558.065541249
2013-07-01;245756;245759.803018678
2013-08-01;245959;245959.971656293
2013-09-01;246168;246159.028781468
2013-10-01;246381;246357.431114292
2013-11-01;246567;246555.640981867
2013-12-01;246745;246754.135441848
2014-01-01;246915;246953.398651274
2014-02-01;247085;247153.909057536
2014-03-01;247258;247356.121108866
2014-04-01;247439;247560.446185335
2014-05-01;247622;247767.234341323
2014-06-01;247814;247976.759727343
2014-07-01;248023;248189.205722443
2014-08-01;248229;248404.653980845
2014-09-01;248446;248623.082278191
2014-10-01;248657;248844.358606387
2014-11-01;248844;249068.240280915
2014-12-01;249027;249294.367518127
2015-01-01;249723;249522.240384201
2015-02-01;249899;249751.191840615
2015-03-01;250080;249980.680323607
2015-04-01;250266;250210.256649515
2015-05-01;250455;250439.533709473
2015-06-01;250663;250668.159234213
2015-07-01;250876;250895.790620894
2015-08-01;251096;251122.082042157
2015-09-01;251325;251346.675301502
2015-10-01;251541;251569.195901156
2015-11-01;251747;251789.25579628
2015-12-01;251936;252006.449319598
2016-01-01;252397;252220.344393961
2016-02-01;252577;252430.464911396
2016-03-01;252768;252636.445173683
2016-04-01;252969;252838.011067032
2016-05-01;253174;253034.970699421
